window_id,log_id,segment_id,start_sample_in_segment,state_sample_count,history_start_timestamp_us,origin_timestamp_us,end_timestamp_us,history_span_s,cohort,mode,command_pattern,n_high_channels,drive_activity,drive_high,common_activity,common_high,differential_activity,differential_high,rudder_activity,rudder_high
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:625,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,625,51,118191871,118694589,119689778,0.502718,Sep7,Stabilized,lower_change,0,0.0,False,0.06220104818852588,False,0.1856024466195707,False,0.11897978262081782,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:675,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,675,51,119197102,119689778,120695267,0.492676,Sep7,Stabilized,lower_change,0,0.0,False,0.07312517882839373,False,0.3419279361240434,False,0.1595775880760418,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:725,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,725,51,120192445,120695267,121690443,0.502822,Sep7,Stabilized,lower_change,0,0.017929902879787,False,0.0963272280733734,False,0.13532364202572925,False,0.05315229044409248,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:775,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,775,51,121188229,121690443,122695852,0.5022139999999999,Sep7,Stabilized,lower_change,0,0.008018343394041682,False,0.058919375214525706,False,0.21597479664524746,False,0.08411684171992326,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:825,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,825,51,122193056,122695852,123691076,0.502796,Sep7,Stabilized,lower_change,0,0.004140778126621831,False,0.06796312259580084,False,0.17501390939025374,False,0.05327281176312795,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:875,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,875,51,123198422,123691076,124696408,0.492654,Sep7,Stabilized,lower_change,0,0.005856119103240683,False,0.11633360688310919,False,0.21974135819518723,False,0.17441617041368573,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:925,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,925,51,124193780,124696408,125691701,0.502628,Sep7,Stabilized,lower_change,0,0.0,False,0.11679734407751395,False,0.09725698960005012,False,0.05515908967292186,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:975,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,975,51,125189425,125691701,126697246,0.502276,Sep7,Stabilized,lower_change,0,0.0,False,0.0625782782255494,False,0.1444239865797836,False,0.21039647433425088,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:1025,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,1025,51,126194354,126697246,127692408,0.502892,Sep7,Stabilized,lower_change,0,0.0,False,0.1412350499036601,False,0.22780691919292603,False,0.055639473442436534,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:1075,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,1075,51,127189815,127692408,128687747,0.502593,Sep7,Stabilized,lower_change,0,0.0,False,0.11198364188561358,False,0.1066547421255007,False,0.11861703797671902,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:1125,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,1125,51,128195053,128687747,129693032,0.4926939999999999,Sep7,Stabilized,lower_change,0,0.0,False,0.06446227048308831,False,0.1292511428491142,False,0.0918158422015279,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:1175,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,1175,51,129190807,129693032,130698481,0.502225,Sep7,Stabilized,mixed_change,2,0.0,False,0.1096669550510377,False,0.6775839236498706,True,0.46741982389471565,True
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:1225,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,1225,51,130195675,130698481,131693642,0.502806,Sep7,Stabilized,sustained,1,0.0,False,0.24691809031810827,True,0.37844163777587697,False,0.0397208034793368,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:1275,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,1275,51,131191117,131693642,132689036,0.502525,Sep7,Stabilized,lower_change,0,0.0,False,0.057925503626419,False,0.1486360293534306,False,0.06505552862507712,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:1325,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,1325,51,132196295,132689036,133694343,0.492741,Sep7,Stabilized,lower_change,0,0.0,False,0.08082234845607393,False,0.18431745940978778,False,0.07578013116295831,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:1375,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,1375,51,133191997,133694343,134689683,0.502346,Sep7,Stabilized,lower_change,0,0.0,False,0.09987905863063783,False,0.313181416133284,False,0.07454440818094728,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:1425,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,1425,51,134196954,134689683,135695054,0.492729,Sep7,Stabilized,lower_change,0,0.0,False,0.10670907407077562,False,0.15663364723340484,False,0.04477224276538115,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:1475,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,1475,51,135192397,135695054,136690366,0.502657,Sep7,Stabilized,lower_change,0,0.0,False,0.10856283832618337,False,0.14641992749271154,False,0.03594402059176137,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:1525,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,1525,51,136187783,136690366,137695657,0.502583,Sep7,Stabilized,lower_change,0,0.0,False,0.09235579187586283,False,0.10123184959027708,False,0.1301708127183503,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:1575,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,1575,51,137193249,137695657,138691067,0.502408,Sep7,Stabilized,lower_change,0,0.0,False,0.09222472172327716,False,0.13777115244023877,False,0.05658365071805557,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:1625,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,1625,51,138198243,138691067,139696232,0.492824,Sep7,Stabilized,mixed_change,3,0.0,False,0.2157572430990857,True,0.6435326944095358,True,0.4243157080599783,True
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:1675,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,1675,51,139193741,139696232,140691750,0.502491,Sep7,Stabilized,lower_change,0,0.0,False,0.09055727434292159,False,0.13863272916117564,False,0.11451757719228275,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:1725,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,1725,51,140189047,140691750,141696932,0.502703,Sep7,Stabilized,lower_change,0,0.0058557700676522195,False,0.06982902737818625,False,0.12438423610083911,False,0.1420156105228926,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:1775,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,1775,51,141194664,141696932,142692406,0.5022679999999999,Sep7,Stabilized,lower_change,0,0.0,False,0.05937610924957893,False,0.09186481976600716,False,0.11170222591045532,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:1825,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,1825,51,142189817,142692406,143697564,0.502589,Sep7,Stabilized,lower_change,0,0.004140654723906093,False,0.06363180251710206,False,0.100158053342046,False,0.058866281645533536,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:1875,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,1875,51,143195029,143697564,144692960,0.502535,Sep7,Stabilized,lower_change,0,0.0,False,0.07597809367460907,False,0.11221552886208067,False,0.1039883334782267,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:1925,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,1925,51,144190359,144692960,145688420,0.502601,Sep7,Stabilized,lower_change,0,0.004140654723906093,False,0.06446025941914088,False,0.2011059951371291,False,0.09098648983404845,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:1975,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,1975,51,145195847,145688420,146693604,0.492573,Sep7,Stabilized,lower_change,0,0.0,False,0.07057373925107976,False,0.27262111769415753,False,0.03918654954206616,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:2025,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,2025,51,146191017,146693604,147689053,0.502587,Sep7,Stabilized,lower_change,0,0.0,False,0.06808003800773751,False,0.19759168205171987,False,0.10677698590572426,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:2075,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,2075,51,147196309,147689053,148694308,0.4927439999999999,Sep7,Stabilized,sustained,2,0.0,False,0.07891602713184467,False,1.0024880442609723,True,0.3262215626005339,True
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:2125,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,2125,51,148191694,148694308,149689659,0.502614,Sep7,Stabilized,lower_change,0,0.0,False,0.0706097570167027,False,0.18043873940137917,False,0.0726073824596038,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:2175,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,2175,51,149187339,149689659,150694896,0.50232,Sep7,Stabilized,lower_change,0,0.0,False,0.07751197653341789,False,0.07439838901891296,False,0.04426900974962684,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:2225,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,2225,51,150192409,150694896,151690331,0.502487,Sep7,Stabilized,lower_change,0,0.004140654723906093,False,0.07830591596412846,False,0.07439031397795488,False,0.04185661903209421,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:2275,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,2275,51,151197656,151690331,152695837,0.492675,Sep7,Stabilized,lower_change,0,0.0,False,0.08921013094465378,False,0.055722710504540696,False,0.029629551213252083,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:2325,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,2325,51,152192971,152695837,153691004,0.5028659999999999,Sep7,Stabilized,lower_change,0,0.0058557700676522195,False,0.10416805959873551,False,0.1558743150725279,False,0.08984652608051191,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:2375,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,2375,51,153188714,153691004,154696398,0.50229,Sep7,Stabilized,lower_change,0,0.0,False,0.09091590840887136,False,0.28375263230978837,False,0.03440729994782493,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:2425,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,2425,51,154193656,154696398,155691659,0.502742,Sep7,Stabilized,lower_change,0,0.0058557700676522195,False,0.08320317020727996,False,0.35802106929903815,False,0.05041926245897639,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:2475,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,2475,51,155198852,155691659,156697166,0.492807,Sep7,Stabilized,lower_change,0,0.012421964171718276,False,0.1772655946517225,False,0.27527950167331566,False,0.05039025773208606,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:2525,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,2525,51,156194336,156697166,157692294,0.50283,Sep7,Stabilized,lower_change,0,0.013093899931878903,False,0.07442385615068454,False,0.32323114805681114,False,0.04341292419223943,False
