mode,pattern,horizon,cohort,metric,seed,value
ALL_original,ALL,500ms,ALL,p_rad_s,42,0.5222663461580446
ALL_original,ALL,500ms,ALL,position_m,17,0.19181756174914597
ALL_original,ALL,500ms,ALL,position_m,23,0.19447252396672085
ALL_original,ALL,500ms,ALL,position_m,42,0.19089634297239788
ALL_original,ALL,500ms,ALL,q_rad_s,17,0.24350756552482722
ALL_original,ALL,500ms,ALL,q_rad_s,23,0.2555830136648196
ALL_original,ALL,500ms,ALL,q_rad_s,42,0.235007304170882
ALL_original,ALL,500ms,ALL,r_rad_s,17,0.15348245796622753
ALL_original,ALL,500ms,ALL,r_rad_s,23,0.15092699245631355
ALL_original,ALL,500ms,ALL,r_rad_s,42,0.14865407810594172
ALL_original,ALL,500ms,ALL,roll_deg,17,2.8674552578340564
ALL_original,ALL,500ms,ALL,roll_deg,23,2.7528984516119874
ALL_original,ALL,500ms,ALL,roll_deg,42,2.9634656457408886
ALL_original,ALL,500ms,ALL,velocity_m_s,17,0.35120971804692896
ALL_original,ALL,500ms,ALL,velocity_m_s,23,0.36518770755199803
ALL_original,ALL,500ms,ALL,velocity_m_s,42,0.35546537899543085
ALL_original,ALL,500ms,Sep17,attitude_deg,17,4.526343428566672
ALL_original,ALL,500ms,Sep17,attitude_deg,23,4.4925398588152055
ALL_original,ALL,500ms,Sep17,attitude_deg,42,4.689643898170552
ALL_original,ALL,500ms,Sep17,body_rate_rad_s,17,0.5620904662494559
ALL_original,ALL,500ms,Sep17,body_rate_rad_s,23,0.5648123314414162
ALL_original,ALL,500ms,Sep17,body_rate_rad_s,42,0.5558534135091175
ALL_original,ALL,500ms,Sep17,p_rad_s,17,0.4826943783258883
ALL_original,ALL,500ms,Sep17,p_rad_s,23,0.47274734114318256
ALL_original,ALL,500ms,Sep17,p_rad_s,42,0.4750833701305351
ALL_original,ALL,500ms,Sep17,position_m,17,0.12703654598931657
ALL_original,ALL,500ms,Sep17,position_m,23,0.13392398963709679
ALL_original,ALL,500ms,Sep17,position_m,42,0.12689403723965165
ALL_original,ALL,500ms,Sep17,q_rad_s,17,0.23367331655829937
ALL_original,ALL,500ms,Sep17,q_rad_s,23,0.26281609828509844
ALL_original,ALL,500ms,Sep17,q_rad_s,42,0.23735501609521525
ALL_original,ALL,500ms,Sep17,r_rad_s,17,0.16700034361350174
ALL_original,ALL,500ms,Sep17,r_rad_s,23,0.1615311543660995
ALL_original,ALL,500ms,Sep17,r_rad_s,42,0.1623828821177605
ALL_original,ALL,500ms,Sep17,roll_deg,17,3.332649815901914
ALL_original,ALL,500ms,Sep17,roll_deg,23,3.0658195838839077
ALL_original,ALL,500ms,Sep17,roll_deg,42,3.4842820491963242
ALL_original,ALL,500ms,Sep17,velocity_m_s,17,0.361042288138236
ALL_original,ALL,500ms,Sep17,velocity_m_s,23,0.3891804912154968
ALL_original,ALL,500ms,Sep17,velocity_m_s,42,0.37060774182798517
ALL_original,ALL,500ms,Sep7,attitude_deg,17,3.59586985452981
ALL_original,ALL,500ms,Sep7,attitude_deg,23,3.7051539056506297
ALL_original,ALL,500ms,Sep7,attitude_deg,42,3.6245369078519767
ALL_original,ALL,500ms,Sep7,body_rate_rad_s,17,0.6312629331152158
ALL_original,ALL,500ms,Sep7,body_rate_rad_s,23,0.6268030357437067
