seed,mode,pattern,horizon,flight_id,cohort,n_origins,metric,value
17,ALL_original,ALL,200ms,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,161,p_rad_s,0.5010620910357318
17,ALL_original,ALL,200ms,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,161,q_rad_s,0.22351258207597272
17,ALL_original,ALL,200ms,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,161,r_rad_s,0.1753609362870684
17,ALL_original,ALL,200ms,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,161,roll_deg,1.5053669307970081
17,ALL_original,ALL,200ms,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,position_m,0.045556406190819694
17,ALL_original,ALL,200ms,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,velocity_m_s,0.23156956397733566
17,ALL_original,ALL,200ms,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,attitude_deg,1.9873065906407763
17,ALL_original,ALL,200ms,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,body_rate_rad_s,0.6332639074145636
17,ALL_original,ALL,200ms,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,p_rad_s,0.5797040483777649
17,ALL_original,ALL,200ms,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,q_rad_s,0.20414899137068954
17,ALL_original,ALL,200ms,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,r_rad_s,0.15260924628187159
17,ALL_original,ALL,200ms,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,roll_deg,1.2420520563087203
17,ALL_original,ALL,200ms,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,position_m,0.10615664093616235
17,ALL_original,ALL,200ms,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,velocity_m_s,0.12537205353900016
17,ALL_original,ALL,200ms,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,attitude_deg,1.7833133968606296
17,ALL_original,ALL,200ms,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,body_rate_rad_s,0.6085769338565147
17,ALL_original,ALL,200ms,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,p_rad_s,0.546532888885999
17,ALL_original,ALL,200ms,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,q_rad_s,0.2423338741647582
17,ALL_original,ALL,200ms,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,r_rad_s,0.11376282002666746
17,ALL_original,ALL,200ms,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,roll_deg,1.139580441466307
17,ALL_original,ALL,200ms,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,140,position_m,0.1655099660065887
17,ALL_original,ALL,200ms,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,140,velocity_m_s,0.1680557276017657
17,ALL_original,ALL,200ms,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,140,attitude_deg,1.7316458490071946
17,ALL_original,ALL,200ms,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,140,body_rate_rad_s,0.6064975686880585
17,ALL_original,ALL,200ms,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,140,p_rad_s,0.5553051553002601
17,ALL_original,ALL,200ms,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,140,q_rad_s,0.1962678093015577
17,ALL_original,ALL,200ms,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,140,r_rad_s,0.14475645876245855
17,ALL_original,ALL,200ms,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,140,roll_deg,0.9693043818897764
17,ALL_original,ALL,200ms,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,201,position_m,0.06989867351261186
17,ALL_original,ALL,200ms,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,201,velocity_m_s,0.13699178263631911
17,ALL_original,ALL,200ms,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,201,attitude_deg,1.8216191094505327
17,ALL_original,ALL,200ms,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,201,body_rate_rad_s,0.5579676095359405
17,ALL_original,ALL,200ms,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,201,p_rad_s,0.5183986745982763
17,ALL_original,ALL,200ms,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,201,q_rad_s,0.18249067840058272
17,ALL_original,ALL,200ms,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,201,r_rad_s,0.09637333533139297
17,ALL_original,ALL,200ms,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,201,roll_deg,1.1587847055454186
17,ALL_original,ALL,200ms,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,164,position_m,0.26542433465655013
17,ALL_original,ALL,200ms,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,164,velocity_m_s,0.1698419072431571
17,ALL_original,ALL,200ms,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,164,attitude_deg,1.8992514633199413
17,ALL_original,ALL,200ms,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,164,body_rate_rad_s,0.5676522980112023
17,ALL_original,ALL,200ms,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,164,p_rad_s,0.5052769888999616
17,ALL_original,ALL,200ms,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,164,q_rad_s,0.22568962728577172
17,ALL_original,ALL,200ms,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,164,r_rad_s,0.12644559328500263
17,ALL_original,ALL,200ms,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,164,roll_deg,1.308229116526052
