mode,pattern,horizon,cohort,metric,mean,std
ALL_original,lower_change,interval_0_500ms,Sep7,p_rad_s,0.5211728297149061,0.00325500975493439
ALL_original,lower_change,interval_0_500ms,Sep7,position_m,0.1423773536574853,0.0005777029217377876
ALL_original,lower_change,interval_0_500ms,Sep7,q_rad_s,0.20668783739826632,0.005145263819914145
ALL_original,lower_change,interval_0_500ms,Sep7,r_rad_s,0.12638618140381255,0.002123780601915382
ALL_original,lower_change,interval_0_500ms,Sep7,roll_deg,1.5445746888662484,0.029607968038409756
ALL_original,lower_change,interval_0_500ms,Sep7,velocity_m_s,0.18179921218022113,0.0028733727370577715
ALL_original,lower_change,interval_500_1000ms,ALL,attitude_deg,4.90611536084126,0.08241859863581112
ALL_original,lower_change,interval_500_1000ms,ALL,body_rate_rad_s,0.5865469421206,0.006738448086755971
ALL_original,lower_change,interval_500_1000ms,ALL,p_rad_s,0.5048975384544468,0.0037108798567300483
ALL_original,lower_change,interval_500_1000ms,ALL,position_m,0.32026969648100767,0.006634872251630213
ALL_original,lower_change,interval_500_1000ms,ALL,q_rad_s,0.2548345632583982,0.02249561906262702
ALL_original,lower_change,interval_500_1000ms,ALL,r_rad_s,0.150830294177019,0.00209037015686488
ALL_original,lower_change,interval_500_1000ms,ALL,roll_deg,3.6688235067231125,0.25827946061661916
ALL_original,lower_change,interval_500_1000ms,ALL,velocity_m_s,0.43928697988819126,0.013924818258720788
ALL_original,lower_change,interval_500_1000ms,Sep17,attitude_deg,5.326065739209107,0.24586511654519233
ALL_original,lower_change,interval_500_1000ms,Sep17,body_rate_rad_s,0.5726539018873654,0.01054700144584658
ALL_original,lower_change,interval_500_1000ms,Sep17,p_rad_s,0.48249213187040024,0.006435498200654235
ALL_original,lower_change,interval_500_1000ms,Sep17,position_m,0.22116322894853335,0.013471046506034779
ALL_original,lower_change,interval_500_1000ms,Sep17,q_rad_s,0.2621698248064446,0.0334646959373826
ALL_original,lower_change,interval_500_1000ms,Sep17,r_rad_s,0.15862610046854675,0.004847246240075162
ALL_original,lower_change,interval_500_1000ms,Sep17,roll_deg,4.106477562885769,0.49553234784061634
ALL_original,lower_change,interval_500_1000ms,Sep17,velocity_m_s,0.45678953160937114,0.026506791848544813
ALL_original,lower_change,interval_500_1000ms,Sep7,attitude_deg,4.532826135625395,0.06629299230833606
ALL_original,lower_change,interval_500_1000ms,Sep7,body_rate_rad_s,0.5988963112168085,0.003479871545339507
ALL_original,lower_change,interval_500_1000ms,Sep7,p_rad_s,0.5248134554180438,0.004517972446836325
ALL_original,lower_change,interval_500_1000ms,Sep7,position_m,0.4083643342876515,0.0022564811313928713
ALL_original,lower_change,interval_500_1000ms,Sep7,q_rad_s,0.24831433077124587,0.01658176090428557
ALL_original,lower_change,interval_500_1000ms,Sep7,r_rad_s,0.14390068858454985,0.0013438986225022635
ALL_original,lower_change,interval_500_1000ms,Sep7,roll_deg,3.279797679022973,0.04742898714158357
ALL_original,lower_change,interval_500_1000ms,Sep7,velocity_m_s,0.4237291561360313,0.0028728314142076983
ALL_original,mixed_change,100ms,ALL,attitude_deg,1.7323815951004748,0.026687277465861192
ALL_original,mixed_change,100ms,ALL,body_rate_rad_s,0.5497484057287473,0.0016332186967680641
ALL_original,mixed_change,100ms,ALL,p_rad_s,0.4351376872332204,0.007088736237488747
ALL_original,mixed_change,100ms,ALL,position_m,0.029051201316064548,0.00010676234183506909
ALL_original,mixed_change,100ms,ALL,q_rad_s,0.27366783021047375,0.011156748314276236
ALL_original,mixed_change,100ms,ALL,r_rad_s,0.15051592946430883,0.003768290605303271
ALL_original,mixed_change,100ms,ALL,roll_deg,1.2573026078163176,0.027325255314958476
ALL_original,mixed_change,100ms,ALL,velocity_m_s,0.16578725506751943,0.006719904533504185
ALL_original,mixed_change,100ms,Sep17,attitude_deg,1.9194211061712665,0.0514902716846276
ALL_original,mixed_change,100ms,Sep17,body_rate_rad_s,0.5429222264111663,0.01261878281464028
ALL_original,mixed_change,100ms,Sep17,p_rad_s,0.3898566728984915,0.0028270057753114154
ALL_original,mixed_change,100ms,Sep17,position_m,0.019102845610644657,0.00010541231415865855
ALL_original,mixed_change,100ms,Sep17,q_rad_s,0.3268653324201887,0.019210991054488133
ALL_original,mixed_change,100ms,Sep17,r_rad_s,0.15345770596546413,0.006217047642138869
ALL_original,mixed_change,100ms,Sep17,roll_deg,1.3237154075019546,0.06350038216757577
