seed,mode,pattern,interval,axis,true_amplitude,pred_amplitude
23,Other_or_transition,lower_change,early,p,0.9535184410720128,0.6509823634604585
23,Other_or_transition,lower_change,early,q,0.7356016149188012,0.7656716399456032
23,Other_or_transition,lower_change,early,r,0.0887650935542104,0.061043915711387016
23,Other_or_transition,lower_change,late500,p,0.6481901162061601,0.5194561956026105
23,Other_or_transition,lower_change,late500,q,0.8227206529352418,0.7257373507318274
23,Other_or_transition,lower_change,late500,r,0.33377160318412286,0.21006997532995242
23,Other_or_transition,lower_change,late1s,p,0.6947529165822394,0.5441860385181794
23,Other_or_transition,lower_change,late1s,q,0.6736529904471623,0.699731756806482
23,Other_or_transition,lower_change,late1s,r,0.23735398977252864,0.17668385997324718
23,Other_or_transition,sustained,early,p,0.6946465844773617,0.4072076581872547
23,Other_or_transition,sustained,early,q,0.6990101519050563,0.6771461097659586
23,Other_or_transition,sustained,early,r,0.07852155600513758,0.07198263503229255
23,Other_or_transition,sustained,late500,p,0.7898123767259869,0.5185351787539898
23,Other_or_transition,sustained,late500,q,0.5383351130548104,0.574060297214007
23,Other_or_transition,sustained,late500,r,0.07785612702958038,0.08250399118657843
23,Other_or_transition,sustained,late1s,p,0.8224954385546399,0.6160260083862477
23,Other_or_transition,sustained,late1s,q,0.6600866667060177,0.6295137010753563
23,Other_or_transition,sustained,late1s,r,0.2045846582939616,0.10101191879570831
23,Other_or_transition,multi_high,early,p,0.4729534764611415,0.23888783893832827
23,Other_or_transition,multi_high,early,q,0.7722078924628297,0.7814856358875362
23,Other_or_transition,multi_high,early,r,0.0720984360132422,0.060145160506747175
23,Other_or_transition,multi_high,late500,p,0.9603451163656568,0.6102503436798183
23,Other_or_transition,multi_high,late500,q,0.6331176664554294,0.6866845925822408
23,Other_or_transition,multi_high,late500,r,0.060827503747329835,0.1006222581416969
