seed,mode,pattern,offset,flight_id,cohort,axis,n_origins,mse,bias,bias_mse,amplitude_mse,shape_mse,pred_var,true_var,correlation,undefined_correlations,endpoint_mse,rmse,bias_rmse,amplitude_rmse,shape_rmse,endpoint_rmse
42,Mission,sustained,15,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,q,47,0.035511601667220706,0.0540454660547022,0.020443201813238773,0.004910992034260003,0.01015740781972194,0.15477297900637105,0.181523045454109,0.9564247109605689,0,0.028396696394526782,0.18844522192727706,0.1429797251824145,0.07007847054737998,0.10078396608450145,0.1685131935325148
42,Mission,sustained,15,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,r,47,0.01141491568878422,0.00910689289632218,0.007612873908517336,0.001254124614793965,0.002547917165472918,0.0018295164868117754,0.004380476899587785,0.2804045697548019,0,0.012112029521626934,0.10684060880013845,0.08725178455778046,0.035413621881896874,0.0504768973439624,0.1100546660602218
42,Mission,sustained,20,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,p,41,0.290051636317225,0.0043118470680407125,0.0342093751867923,0.11539262565644104,0.14044963547399167,0.10098938012975098,0.3219964751406236,0.458767973117565,0,0.23509994850233573,0.5385644216964439,0.184957765954264,0.3396949008396226,0.37476610769117275,0.48487106379153594
42,Mission,sustained,20,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,q,41,0.030462080192304522,0.009031911793841703,0.013266520411277112,0.004550201704734121,0.012645358076293295,0.13379726839624664,0.1541747968392424,0.9386609697263193,0,0.03591094621602744,0.17453389410743267,0.1151803820590864,0.06745518293455383,0.11245158103065202,0.18950183697269912
42,Mission,sustained,20,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,r,41,0.01662934986480072,0.04824056115571806,0.010702266360814786,0.0014501665983585453,0.0044769169056273865,0.0016635479557694439,0.0045235626614992435,0.009008047110060924,0,0.023422626382348846,0.1289548365312473,0.10345175861634633,0.03808105301010655,0.06690976689263972,0.15304452418283002
42,Mission,sustained,20,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,p,38,0.24556812459575603,0.04213294039668407,0.06294081999431951,0.10582391456656377,0.07680339003487277,0.043983302668021744,0.2372327346971956,0.39589946447622815,0,0.23668538983251663,0.4955483070254161,0.25088009086876445,0.3253058784691168,0.27713424551085847,0.48650322694974657
42,Mission,sustained,20,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,q,38,0.039393167366600146,-0.022261364349163558,0.016233130499566924,0.008469924861883823,0.014690112005149405,0.11127740313643796,0.1504741881966922,0.9189834232259785,0,0.05107890386189894,0.19847712051166036,0.12740930303383236,0.09203219470317886,0.12120277226676544,0.2260064243819165
42,Mission,sustained,20,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,r,38,0.01709081682073384,0.026578892932312047,0.00970765302153692,0.0021686604760541403,0.005214503323142781,0.0020399710218126275,0.005911499554527025,-0.05179150677525479,0,0.020413855970932614,0.13073185082730926,0.0985274226879853,0.046568878836129826,0.07221151793961114,0.14287706593758362
42,Mission,sustained,20,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,p,33,0.3131868461793188,0.02926633102647519,0.0328433717681568,0.17298477562364958,0.10735869878751242,0.061757155510115354,0.3361087986018555,0.32164111251013855,0,0.20131858724294815,0.5596309910819082,0.18122740346911334,0.4159143849684086,0.32765637303051565,0.44868539896340304
42,Mission,sustained,20,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,q,33,0.028396411855363284,-0.05066293556043891,0.010641802752371704,0.004991897841365436,0.012762711261626137,0.15611582971730872,0.18604234727001,0.9396357587058265,0,0.030787033437708465,0.1685123492666436,0.10315911376302,0.07065336397770057,0.11297217029705209,0.17546234193612162
