mode,horizon_s,n,knn_mean,knn_median,knn_p90,knn_p95,knn_max,mahalanobis_mean,mahalanobis_median,mahalanobis_p90,mahalanobis_p95,mahalanobis_max,knn_outside_train_p99_mean,knn_outside_train_p99_median,knn_outside_train_p99_p90,knn_outside_train_p99_p95,knn_outside_train_p99_max,knn_outside_leave_log_p99_mean,knn_outside_leave_log_p99_median,knn_outside_leave_log_p99_p90,knn_outside_leave_log_p99_p95,knn_outside_leave_log_p99_max,mahalanobis_outside_train_p99_mean,mahalanobis_outside_train_p99_median,mahalanobis_outside_train_p99_p90,mahalanobis_outside_train_p99_p95,mahalanobis_outside_train_p99_max
teacher,3.4,722,0.5600399949544024,0.5500722527503967,0.6738009989261626,0.7276892960071562,1.1385971307754517,1.0919914642694584,1.0474741458892822,1.3186874389648438,1.490514063835144,3.3596997261047363,0.9349030470914127,1.0,1.0,1.0,1.0,0.0013850415512465374,0.0,0.0,0.0,1.0,0.027700831024930747,0.0,0.0,0.0,1.0
teacher,3.6,722,0.5603564791897327,0.5508423745632172,0.6809085011482239,0.7249320656061169,1.1902954578399658,1.097366551943433,1.0502509474754333,1.2993737697601317,1.4577666640281675,3.495821237564087,0.9279778393351801,1.0,1.0,1.0,1.0,0.0013850415512465374,0.0,0.0,0.0,1.0,0.029085872576177285,0.0,0.0,0.0,1.0
teacher,3.8000000000000003,722,0.5627258230114247,0.5549130141735077,0.6781203210353851,0.7251699805259704,1.1025141477584839,1.1047661796501138,1.0520694851875305,1.3029674291610716,1.483321177959442,3.359074354171753,0.9321329639889196,1.0,1.0,1.0,1.0,0.0013850415512465374,0.0,0.0,0.0,1.0,0.027700831024930747,0.0,0.0,0.0,1.0
teacher,4.0,722,0.5649050401518549,0.5558133721351624,0.6789176046848298,0.7171683222055435,1.0656629800796509,1.1030222795016218,1.0501092076301575,1.2785279750823975,1.488026672601699,3.3596034049987793,0.9321329639889196,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.023545706371191136,0.0,0.0,0.0,1.0
teacher,4.2,722,0.5643840001643199,0.5591743588447571,0.6750948846340179,0.7273599147796631,1.0194405317306519,1.097538843874786,1.0430784225463867,1.3059643983840943,1.4843102931976313,3.3707120418548584,0.9418282548476454,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,1.0
teacher,4.4,722,0.5605053568150529,0.5505078434944153,0.6753887236118317,0.7286659926176071,1.139141321182251,1.0937787365385039,1.047474205493927,1.3160865426063537,1.4892071425914752,3.3596997261047363,0.9321329639889196,1.0,1.0,1.0,1.0,0.0013850415512465374,0.0,0.0,0.0,1.0,0.027700831024930747,0.0,0.0,0.0,1.0
teacher,4.6000000000000005,722,0.5610538587345641,0.5506391227245331,0.6792197406291962,0.7278965592384337,1.1912682056427002,1.0990108473644362,1.0490952730178833,1.2984130740165711,1.4595177173614498,3.495821237564087,0.9238227146814404,1.0,1.0,1.0,1.0,0.002770083102493075,0.0,0.0,0.0,1.0,0.030470914127423823,0.0,0.0,0.0,1.0
teacher,4.8,722,0.5630717391039857,0.5541541278362274,0.6796000301837921,0.7278939872980118,1.1011295318603516,1.1052137727222284,1.0515841841697693,1.2950756669044494,1.4788358151912682,3.359074354171753,0.9321329639889196,1.0,1.0,1.0,1.0,0.0013850415512465374,0.0,0.0,0.0,1.0,0.027700831024930747,0.0,0.0,0.0,1.0
teacher,4.98,722,0.5649432657580626,0.5536918938159943,0.6796821534633636,0.7407828032970427,1.1007689237594604,1.1045572989700243,1.0533611178398132,1.2970510721206665,1.488400381803512,3.4528768062591553,0.9376731301939059,1.0,1.0,1.0,1.0,0.0013850415512465374,0.0,0.0,0.0,1.0,0.027700831024930747,0.0,0.0,0.0,1.0
teacher,5.0,722,0.5654662166853691,0.5547721087932587,0.6793318033218384,0.7161860972642897,1.146640419960022,1.1042197271562348,1.0501092076301575,1.2765892148017883,1.478602039813995,3.3596034049987793,0.9293628808864266,1.0,1.0,1.0,1.0,0.0013850415512465374,0.0,0.0,0.0,1.0,0.023545706371191136,0.0,0.0,0.0,1.0
