log_id,window_id,horizon_s,linear,angular,frequency,linear_body
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:2575:5s,0.2,0.6950061,6.949592,0.1876795,0.6950061
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:2625:5s,0.2,0.54680043,11.512204,0.11493403,0.5468004
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:2675:5s,0.2,0.38777253,3.812516,0.09472468,0.38777253
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:2725:5s,0.2,1.1892697,9.137176,0.10192745,1.1892697
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:2775:5s,0.2,0.8749975,4.9138193,0.08365996,0.87499756
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:2825:5s,0.2,1.3781208,5.5255527,0.12895775,1.3781209
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:2875:5s,0.2,1.7248831,11.282442,0.1783851,1.724883
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:2925:5s,0.2,0.53238326,4.2371736,0.06043623,0.53238326
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:2975:5s,0.2,0.84437466,4.9422355,0.02906656,0.8443746
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:3025:5s,0.2,0.3206932,6.13165,0.12696089,0.32069322
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:3075:5s,0.2,1.3040743,6.9246144,0.24154979,1.3040743
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:3125:5s,0.2,0.6034118,4.1566296,0.04477869,0.60341185
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:3175:5s,0.2,0.43022045,7.6675043,0.047035493,0.43022048
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:3225:5s,0.2,1.1623421,8.66064,0.024770198,1.1623421
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:3275:5s,0.2,1.3062215,8.681517,0.14974545,1.3062215
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:3325:5s,0.2,0.7451592,3.5014873,0.04631969,0.7451592
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:3375:5s,0.2,1.4436569,8.553672,0.1142167,1.4436569
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:3425:5s,0.2,1.7193654,7.37155,0.096265204,1.7193654
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:3475:5s,0.2,0.48077643,2.9786339,0.045559593,0.4807764
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:3525:5s,0.2,0.97675675,7.1043983,0.03439634,0.9767569
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:3575:5s,0.2,1.3669847,6.369959,0.1450429,1.3669847
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:3625:5s,0.2,1.5033772,7.878075,0.12730141,1.5033772
2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,validation:2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg:1:3675:5s,0.2,0.86609554,6.233002,0.123716004,0.86609554
