model,seed,cohort,log_id,horizon_s,position_rmse_m,velocity_rmse_m_s,attitude_error_deg,body_rate_rmse_rad_s,delta_v_rmse_m_s,delta_omega_rmse_rad_s,velocity_x_rmse_m_s,velocity_y_rmse_m_s,velocity_z_rmse_m_s,body_rate_p_rmse_rad_s,body_rate_q_rmse_rad_s,body_rate_r_rmse_rad_s,n_windows,history_steps
B2_StandardGRU,17,Sep7,2026.9.7/log_26_2026-9-7-06-30-26.ulg,0.2,0.08174108237389455,0.4030419195245734,2.5483177036296403,0.7272885150384473,0.4030419195245734,0.7272885150384473,0.14505778465817656,0.19007397930832431,0.3244578715241988,0.6226836060407063,0.3440571437630386,0.1511237661673107,150,1
B2_StandardGRU,17,Sep7,2026.9.7/log_26_2026-9-7-06-30-26.ulg,0.5,0.156278664984723,0.38030811669706854,3.863813719346551,0.6180633378735851,0.38030811669706854,0.6180633378735851,0.1805995067488072,0.16518008454135788,0.29109040083566573,0.5264928237332496,0.2936296284122316,0.13634235401855735,150,1
B2_StandardGRU,17,Sep7,2026.9.7/log_26_2026-9-7-06-30-26.ulg,1.0,0.36862267389623976,0.561500860387156,5.265159462403314,0.6072324987536364,0.561500860387156,0.6072324987536364,0.33700910816260826,0.31572205477353354,0.31941769105755186,0.47432278914132525,0.346566268829534,0.15375636752132915,150,1
B2_StandardGRU,17,Sep7,2026.9.7/log_27_2026-9-7-06-37-24.ulg,0.1,0.06570844818828127,0.3974857714834991,1.4778755397063015,0.6885368449331754,0.3974857714834991,0.6885368449331754,0.09368946847328521,0.10526893837892276,0.37166607679690156,0.5919854243719261,0.3205804596013154,0.1444451905863656,155,1
B2_StandardGRU,17,Sep7,2026.9.7/log_27_2026-9-7-06-37-24.ulg,0.2,0.12012168759818301,0.29196583766136885,2.099194561713219,0.6938736834593582,0.29196583766136885,0.6938736834593582,0.11044042914736305,0.1036501508945075,0.24960690733751123,0.5945291924252011,0.3304371864487126,0.13713859326810462,155,1
B2_StandardGRU,17,Sep7,2026.9.7/log_27_2026-9-7-06-37-24.ulg,0.5,0.2543483680004283,0.3472233037601478,3.3362409421857238,0.6353872489203904,0.3472233037601478,0.6353872489203904,0.1640630989826721,0.1707934462145765,0.25392306109619583,0.5716471624917739,0.2472758252944481,0.12566281840972357,155,1
B2_StandardGRU,17,Sep7,2026.9.7/log_27_2026-9-7-06-37-24.ulg,1.0,0.4946847850130907,0.5939960962048316,5.239189167832114,0.6248474008245812,0.5939960962048316,0.6248474008245812,0.3353209684522324,0.36934278001789966,0.3224548360181405,0.5393027960507908,0.28832713737856713,0.12827404390645392,155,1
B2_StandardGRU,17,Sep7,2026.9.7/log_28_2026-9-7-06-44-02.ulg,0.1,0.0886255706440604,0.39240595326486594,1.5520835560994164,0.6599921670967492,0.39240595326486594,0.6599921670967492,0.12073513613807874,0.11273820975921583,0.35594319086016357,0.5548481464983621,0.33261557522694263,0.13076725153051696,140,1
B2_StandardGRU,17,Sep7,2026.9.7/log_28_2026-9-7-06-44-02.ulg,0.2,0.17239847760468802,0.35252969008844603,2.1406586303526307,0.6729440522042616,0.35252969008844603,0.6729440522042616,0.12881046070302934,0.14638974076377226,0.2936921711698232,0.556546224777408,0.346027817506754,0.15288801978774968,140,1
B2_StandardGRU,17,Sep7,2026.9.7/log_28_2026-9-7-06-44-02.ulg,0.5,0.4334470579608021,0.3549628368131604,3.4224979741733166,0.6150261672180976,0.3549628368131604,0.6150261672180976,0.18299525168271252,0.19452292540019975,0.23382083926326014,0.5416859062152624,0.25545871330616865,0.13990858146193183,140,1
B2_StandardGRU,17,Sep7,2026.9.7/log_28_2026-9-7-06-44-02.ulg,1.0,0.8748361702372708,0.606572788195514,5.521400232024165,0.6533395160601142,0.606572788195514,0.6533395160601142,0.38313534496646184,0.37920734399802547,0.2781000630612538,0.5804374549961466,0.26695436177319176,0.1366757213755549,140,1
B2_StandardGRU,17,Sep7,2026.9.7/log_29_2026-9-7-06-51-04.ulg,0.1,0.04472003522192431,0.3616885760544048,1.640812249952293,0.7442333028804458,0.3616885760544048,0.7442333028804458,0.09787408240989026,0.08677196930580025,0.3372090084554062,0.6467745107101167,0.3390049135741557,0.14367188306904607,201,1
B2_StandardGRU,17,Sep7,2026.9.7/log_29_2026-9-7-06-51-04.ulg,0.2,0.08131967847242581,0.2823011389463751,2.220628744088049,0.6538724239968556,0.2823011389463751,0.6538724239968556,0.1065064161091176,0.09980405421083616,0.24163912584904906,0.558178890876052,0.3141846284902866,0.13142865693723224,201,1
B2_StandardGRU,17,Sep7,2026.9.7/log_29_2026-9-7-06-51-04.ulg,0.5,0.21517715952101274,0.5112976800296315,3.3987734075558587,0.6299391365723718,0.5112976800296315,0.6299391365723718,0.2766091054002708,0.33305588682409687,0.27200458941929595,0.5278142414353623,0.31597397999831633,0.1356314354697386,201,1
B2_StandardGRU,17,Sep7,2026.9.7/log_29_2026-9-7-06-51-04.ulg,1.0,0.5028704024305106,0.585782412298086,5.626717270544614,0.5858357399205567,0.585782412298086,0.5858357399205567,0.35016202424456117,0.3555220112836685,0.3068088832278676,0.49903878109919036,0.279201683765683,0.12731939722488486,201,1
B2_StandardGRU,17,Sep7,2026.9.7/log_30_2026-9-7-06-58-22.ulg,0.1,0.12986316703098166,0.4131929252339596,1.716095945725631,0.6369473456794625,0.4131929252339596,0.6369473456794625,0.1270640048377954,0.12325821861696089,0.3733504301341445,0.5413896151404334,0.3044184610216148,0.14116871599415248,164,1
