group,interval,axis,cohort,seed,n_origins,n_direction,n_flights,n_direction_flights
common_high,extended,vy,ALL,42,440,406,17,17
common_high,extended,vy,Sep17,17,249,230,8,8
common_high,extended,vy,Sep17,23,249,230,8,8
common_high,extended,vy,Sep17,42,249,230,8,8
common_high,extended,vy,Sep7,17,191,176,9,9
common_high,extended,vy,Sep7,23,191,176,9,9
common_high,extended,vy,Sep7,42,191,176,9,9
common_high,extended,vz,ALL,17,440,372,17,17
common_high,extended,vz,ALL,23,440,372,17,17
common_high,extended,vz,ALL,42,440,372,17,17
common_high,extended,vz,Sep17,17,249,221,8,8
common_high,extended,vz,Sep17,23,249,221,8,8
common_high,extended,vz,Sep17,42,249,221,8,8
common_high,extended,vz,Sep7,17,191,151,9,9
common_high,extended,vz,Sep7,23,191,151,9,9
common_high,extended,vz,Sep7,42,191,151,9,9
common_high,late,p,ALL,17,440,354,17,17
common_high,late,p,ALL,23,440,354,17,17
common_high,late,p,ALL,42,440,354,17,17
common_high,late,p,Sep17,17,249,200,8,8
common_high,late,p,Sep17,23,249,200,8,8
common_high,late,p,Sep17,42,249,200,8,8
common_high,late,p,Sep7,17,191,154,9,9
common_high,late,p,Sep7,23,191,154,9,9
common_high,late,p,Sep7,42,191,154,9,9
common_high,late,q,ALL,17,440,316,17,17
common_high,late,q,ALL,23,440,316,17,17
common_high,late,q,ALL,42,440,316,17,17
common_high,late,q,Sep17,17,249,185,8,8
common_high,late,q,Sep17,23,249,185,8,8
common_high,late,q,Sep17,42,249,185,8,8
common_high,late,q,Sep7,17,191,131,9,9
common_high,late,q,Sep7,23,191,131,9,9
common_high,late,q,Sep7,42,191,131,9,9
common_high,late,r,ALL,17,440,370,17,17
common_high,late,r,ALL,23,440,370,17,17
common_high,late,r,ALL,42,440,370,17,17
common_high,late,r,Sep17,17,249,218,8,8
common_high,late,r,Sep17,23,249,218,8,8
common_high,late,r,Sep17,42,249,218,8,8
common_high,late,r,Sep7,17,191,152,9,9
common_high,late,r,Sep7,23,191,152,9,9
common_high,late,r,Sep7,42,191,152,9,9
common_high,late,vx,ALL,17,440,369,17,17
common_high,late,vx,ALL,23,440,369,17,17
common_high,late,vx,ALL,42,440,369,17,17
common_high,late,vx,Sep17,17,249,213,8,8
