model,seed,cohort,flight_id,horizon_s,position_rmse_m,velocity_rmse_m_s,attitude_error_deg,body_rate_rmse_rad_s,delta_v_rmse_m_s,delta_omega_rmse_rad_s,velocity_x_rmse_m_s,velocity_y_rmse_m_s,velocity_z_rmse_m_s,body_rate_p_rmse_rad_s,body_rate_q_rmse_rad_s,body_rate_r_rmse_rad_s,n_windows
B0_ConstantVelocity,,Sep17,9.17数据/log_13_2026-9-17-06-52-30.ulg,0.2,0.12215330726932856,0.7964105833611572,9.00979631177245,1.150764248014114,0.7964105833611572,1.150764248014114,0.3370399337337769,0.4075565389629747,0.5954591236238734,0.741735993673305,0.8493529578339367,0.22953349040108886,153
B0_ConstantVelocity,,Sep17,9.17数据/log_13_2026-9-17-06-52-30.ulg,0.5,0.4368621883757838,1.426048136606945,22.913693140156575,1.1231156185748878,1.426048136606945,1.1231156185748878,0.7966844529976093,0.9287582063845669,0.7323355544730594,0.7287659198467238,0.7910100980791153,0.32340678949842766,153
B0_ConstantVelocity,,Sep17,9.17数据/log_13_2026-9-17-06-52-30.ulg,1.0,1.4067895339795098,2.572544054930812,47.33018787040215,1.1164480723264876,2.572544054930812,1.1164480723264876,1.5477063486240583,1.8121572095312144,0.9688520118845253,0.7443540081169869,0.7717286236011962,0.3111725250023049,153
B0_ConstantVelocity,,Sep17,9.17数据/log_6_2026-9-17-06-02-24.ulg,0.1,0.04659595142645037,0.8581879951061849,3.865957639158768,1.2371241396374073,0.8581879951061849,1.2371241396374073,0.20087313781555363,0.22505952957341444,0.803420702743401,0.8509012942190209,0.8820125252593111,0.16881063253149625,138
B0_ConstantVelocity,,Sep17,9.17数据/log_6_2026-9-17-06-02-24.ulg,0.2,0.12064585339815673,0.7539114054166781,9.192931313015016,1.1563634325722616,0.7539114054166781,1.1563634325722616,0.33376239457799145,0.35274579654044463,0.5766762299644084,0.7317454584281097,0.8621794063216405,0.2416022424875293,138
B0_ConstantVelocity,,Sep17,9.17数据/log_6_2026-9-17-06-02-24.ulg,0.5,0.3835524256004298,1.1942188426647222,22.3080710091251,0.95645199688212,1.1942188426647222,0.95645199688212,0.6644868966497831,0.7406738580268611,0.660316624349118,0.6516069160072425,0.6283764947540597,0.30879091662794494,138
B0_ConstantVelocity,,Sep17,9.17数据/log_6_2026-9-17-06-02-24.ulg,1.0,1.1664291257611794,2.0567277383613067,44.07525091353797,1.0529247802917692,2.0567277383613067,1.0529247802917692,1.2275787348864657,1.390806019508125,0.8881655563572177,0.679325750646753,0.7644303731454506,0.25062586074346566,138
B0_ConstantVelocity,,Sep17,9.17数据/log_7_2026-9-17-06-12-16.ulg,0.1,0.052100530587814636,0.783659400565302,4.215870128712115,1.3539232114262965,0.783659400565302,1.3539232114262965,0.19399718572960076,0.16714982027541359,0.7406403213471842,0.9678236325679294,0.9320486406815726,0.16646564235765365,131
B0_ConstantVelocity,,Sep17,9.17数据/log_7_2026-9-17-06-12-16.ulg,0.2,0.1177332046609158,0.7550372482021583,9.882966131937517,1.1461682100377568,0.7550372482021583,1.1461682100377568,0.35778392303255857,0.3233069741555302,0.5809858096842944,0.8103930510284945,0.7772247597958458,0.22997030527042703,131
B0_ConstantVelocity,,Sep17,9.17数据/log_7_2026-9-17-06-12-16.ulg,0.5,0.3855626918155652,1.209098927194166,23.99705684310282,1.0507176634968425,1.209098927194166,1.0507176634968425,0.7411018600870889,0.7062274482001115,0.643374727609267,0.7672461124920347,0.6573352136832652,0.28853323569755335,131
B0_ConstantVelocity,,Sep17,9.17数据/log_7_2026-9-17-06-12-16.ulg,1.0,1.1440543944463337,1.9954397585617178,47.884220000493,1.1736852733944876,1.9954397585617178,1.1736852733944876,1.301068091336886,1.2688057780094746,0.8240955948454105,0.8510015412941054,0.7681000110714845,0.2517059210470329,131
B0_ConstantVelocity,,Sep17,9.17数据/log_8_2026-9-17-06-17-52.ulg,0.1,0.045816125687610454,0.7721978509531044,4.037162658122842,1.203664507400797,0.7721978509531044,1.203664507400797,0.19837513742051768,0.21015206756646365,0.7160816534219574,0.9071802683790098,0.7693824050516866,0.18407314262834065,146
B0_ConstantVelocity,,Sep17,9.17数据/log_8_2026-9-17-06-17-52.ulg,0.2,0.11870567170998804,0.7572597942767857,8.994054527165583,1.0921778592603268,0.7572597942767857,1.0921778592603268,0.2719548001504535,0.3113928031031783,0.6344426726496192,0.7976808134897229,0.7127811447228378,0.2202290529799485,146
B0_ConstantVelocity,,Sep17,9.17数据/log_8_2026-9-17-06-17-52.ulg,0.5,0.36745613330273375,1.17793226976397,21.76257930925966,1.1053538774646647,1.17793226976397,1.1053538774646647,0.630318246851368,0.7215795618230674,0.6852344677530067,0.7622111717815893,0.7233504569317846,0.3429364962993646,146
B0_ConstantVelocity,,Sep17,9.17数据/log_8_2026-9-17-06-17-52.ulg,1.0,1.1517077365790138,2.0407125125627377,43.94511397998709,1.1019327549933329,2.0407125125627377,1.1019327549933329,1.223659619698933,1.3935888243897527,0.8515132897285694,0.7664489593600481,0.7328147419033361,0.29965704275428406,146
B0_ConstantVelocity,,Sep17,9.17数据/log_9_2026-9-17-06-28-10.ulg,0.1,0.0460640569958241,0.8457737124299594,4.289008261918849,1.375470455166792,0.8457737124299594,1.375470455166792,0.21208020559361437,0.18823560340512013,0.7968202536605331,1.0434231977102808,0.874094835431381,0.19785151550842722,114
