split,log_id,segment_id,target,steps,count,rmse,r2,truth_increment_rms,signal
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D1_lp8,25,3993,0.5523829106351484,0.7532525893471136,1.1120247621235442,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D1_lp12,2,4016,0.0321876091322709,0.9940043905081678,0.4157644046210588,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D1_lp12,2,4016,0.4741757851975623,0.7565766183434849,0.9610771835282664,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D1_lp12,5,4013,0.03677821370169,0.9980612616911864,0.8355030329304803,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D1_lp12,5,4013,0.431719965171118,0.8745514963520908,1.2189037614228573,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D1_lp12,10,4008,0.0336787944976377,0.9984206379499748,0.8483546195724414,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D1_lp12,10,4008,0.4155590419601158,0.8672687972714506,1.1406340357061997,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D1_lp12,25,3993,0.0318163115263251,0.9995558435059098,1.5128685451238206,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D1_lp12,25,3993,0.4152073135317978,0.8605873684612656,1.1120247621235442,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D2_center2,2,4016,0.1033931884619711,0.93813574923882,0.4157644046210588,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D2_center2,2,4016,0.5327172126381001,0.6927605306519449,0.9610771835282664,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,D2_center2,5,4013,0.1855864596151139,0.9506337086714622,0.8355030329304803,velocity
