variable,split,channel,step,output,bin,bin_edges,near_zero_fraction,positive_fraction,negative_fraction,count,mean,std,min,p1,median,p99,max
motor,train,rudder,5,frequency_dot,1,"[0.6546761393547058, 0.7413855989774009]",0.0049504950495049506,0.995049504950495,0.0,202,0.0460886656892218,0.017100596003359326,0.0,0.0119432797655463,0.0477731190621852,0.08362516015768046,0.0955611392855644
motor,train,rudder,5,frequency_dot,2,"[0.6546761393547058, 0.7413855989774009]",0.015,0.985,0.0,200,0.05057691079098726,0.019291917136643067,0.0,0.0,0.047784294933080645,0.08766859024763098,0.1274049282073974
motor,train,rudder,5,p_dot,0,"[0.6546761393547058, 0.7413855989774009]",0.0,0.8232323232323232,0.17676767676767677,198,0.0719391245565746,0.09789968530193562,-0.2574920654296875,-0.1521182055771351,0.05489587411284445,0.3840350806713104,0.5807876586914062
motor,train,rudder,5,p_dot,1,"[0.6546761393547058, 0.7413855989774009]",0.0,0.8861386138613861,0.11386138613861387,202,0.15012116966732214,0.15816021990954432,-0.3728866279125213,-0.3379726114869117,0.14698505401611325,0.6012630462646489,0.658988893032074
motor,train,rudder,5,p_dot,2,"[0.6546761393547058, 0.7413855989774009]",0.0,0.865,0.135,200,0.1995858084684005,0.2122741382335589,-0.4177093207836151,-0.3416442573070526,0.19153951108455655,0.7066392302513118,0.7896422743797302
motor,train,rudder,5,q_dot,0,"[0.6546761393547058, 0.7413855989774009]",0.0,0.13636363636363635,0.8636363636363636,198,-0.053470551576335984,0.048357227600381525,-0.1811981052160263,-0.16995309293270108,-0.054389234632253605,0.043160315603017765,0.0607967339456081
motor,train,rudder,5,q_dot,1,"[0.6546761393547058, 0.7413855989774009]",0.0,0.039603960396039604,0.9603960396039604,202,-0.09191420256842552,0.05657707743730217,-0.2418756335973739,-0.21565316617488856,-0.09083747118711465,0.09319304682314421,0.1058578416705131
motor,train,rudder,5,q_dot,2,"[0.6546761393547058, 0.7413855989774009]",0.0,0.095,0.905,200,-0.10644567999239367,0.09460573366280449,-0.463008850812912,-0.34175869822502136,-0.1090168878436088,0.17840860784053791,0.2603530883789062
motor,train,rudder,5,r_dot,0,"[0.6546761393547058, 0.7413855989774009]",0.0,0.9343434343434344,0.06565656565656566,198,0.7427844047132466,0.4320080541418098,-0.7472633719444275,-0.376011104285717,0.7705687880516052,1.6486436426639555,1.6803293228149414
motor,train,rudder,5,r_dot,1,"[0.6546761393547058, 0.7413855989774009]",0.0,0.9405940594059405,0.0594059405940594,202,0.8182681004256287,0.5038616224289326,-1.1326074600219729,-0.8698221451044083,0.8676871061325073,1.656895756721497,1.7122029066085815
motor,train,rudder,5,r_dot,2,"[0.6546761393547058, 0.7413855989774009]",0.0,0.915,0.085,200,0.8425882464740425,0.5602652669744737,-1.0595917701721191,-0.5081991851329803,0.909984052181244,1.9266312122344968,1.981139063835144
motor,train,tail_diff,0,ax_b,0,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,tail_diff,0,ax_b,1,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,tail_diff,0,ax_b,2,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,tail_diff,0,ay_b,0,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,tail_diff,0,ay_b,1,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,tail_diff,0,ay_b,2,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,tail_diff,0,az_b,0,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,tail_diff,0,az_b,1,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,tail_diff,0,az_b,2,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,tail_diff,0,frequency_dot,0,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,tail_diff,0,frequency_dot,1,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,tail_diff,0,frequency_dot,2,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,tail_diff,0,p_dot,0,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,tail_diff,0,p_dot,1,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,tail_diff,0,p_dot,2,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motor,train,tail_diff,0,q_dot,0,"[0.6546761393547058, 0.7413855989774009]",1.0,0.0,0.0,198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
