split,log_id,representation,order,signal,fit_r2,heldout_r2,harmonic_variance_fraction,n_cycles
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,within_log_cycle,3,q,0.6595356968433106,0.4445348391797578,0.6732882206438116,617
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,within_log_cycle,3,r,0.013924586381550697,0.0065777547871297415,0.01359585921323053,617
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,within_log_cycle,3,ax_n,0.024793834558016092,-0.013132514017023533,0.02882444228954961,617
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,within_log_cycle,3,ay_n,0.02229131143095231,-0.03372418467478511,0.026019141910537825,617
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,within_log_cycle,3,az_n,0.9469572975980907,0.9305038349635614,1.180806564697608,617
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,within_log_cycle,3,p_dot,0.2992227566662453,0.2769932991993216,0.350700745468588,617
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,within_log_cycle,3,q_dot,0.7688616378916262,0.6928395165113836,0.9321790398200869,617
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,within_log_cycle,3,r_dot,0.18974932130692024,0.09471636523839322,0.2890536018174482,617
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,t0_relative,3,p,0.0002395818539230321,-6.915904105908588e-05,0.000257493246056078,617
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,t0_relative,3,q,0.0006646104758970539,0.00021709381012757767,0.0006666995651406662,617
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,t0_relative,3,r,1.6565816987723636e-05,-0.0006258623117456619,1.64663312710923e-05,617
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,t0_relative,3,ax_n,0.00010220240897129695,-0.00037036491222552925,0.00012084518260338157,617
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,t0_relative,3,ay_n,7.361755086132682e-05,-0.00020269867100930483,8.546369860026407e-05,617
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,t0_relative,3,az_n,0.0006428418206436692,0.0008537256283468464,0.000778748716223446,617
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,t0_relative,3,p_dot,0.00034518544952766295,-0.0004038724335271304,0.00039756711984881445,617
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,t0_relative,3,q_dot,0.0007108187714124359,0.0006600276027538543,0.0008463062627402986,617
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,t0_relative,3,r_dot,0.000303159044487189,8.625641001047679e-05,0.0004348575270200981,617
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,within_log_native,3,p,0.24230300837575625,0.2578442563410802,0.25808335265893867,617
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,within_log_native,3,q,0.6409727093242169,0.4407887084272939,0.6346171359713707,617
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,within_log_native,3,r,0.01458031697004114,0.007837944004627895,0.014676941305406775,617
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,within_log_native,3,ax_n,0.023643623095052746,0.00412295490996184,0.028033366668579977,617
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,within_log_native,3,ay_n,0.02052879715263589,-0.03005272405566295,0.024195431934873442,617
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,within_log_native,3,az_n,0.9324890666079566,0.9222463878324083,1.1369815047623002,617
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,within_log_native,3,p_dot,0.23148806616636908,0.22069667217082212,0.26550050964845484,617
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,within_log_native,3,q_dot,0.6905533655307776,0.6429219146558505,0.8097542138122151,617
train,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,within_log_native,3,r_dot,0.15431588220295855,0.09111478613893109,0.2245460311244478,617
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,within_log_cycle,1,p,0.5558023059872119,0.5633762816570835,0.4050789842898813,530
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,within_log_cycle,1,q,0.38467630509101225,0.41471249024280554,0.28423221577492946,530
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,within_log_cycle,1,r,0.04693262332176984,0.04615611388635321,0.034889623937938284,530
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,within_log_cycle,1,ax_n,0.007226392981003915,0.010795224322537322,0.006106173955543051,530
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,within_log_cycle,1,ay_n,0.0009353398086723308,-0.005096238622557925,0.0008242208697247433,530
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,within_log_cycle,1,az_n,0.920650024988629,0.8984489082468334,1.0045385618835647,530
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,within_log_cycle,1,p_dot,0.2537834789117621,0.252077134136938,0.1888250841613664,530
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,within_log_cycle,1,q_dot,0.254747556133765,0.32510511957251664,0.21468605460383336,530
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,within_log_cycle,1,r_dot,0.024141376330013897,0.024710736564296676,0.017258410918873535,530
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,within_log_cycle,2,p,0.6969117717813376,0.6885235811538879,0.5079221687492275,530
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,within_log_cycle,2,q,0.5942507115367377,0.5463968160696642,0.4390839628813456,530
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,within_log_cycle,2,r,0.07871403147060063,0.07419738373352236,0.05851586300257835,530
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,within_log_cycle,2,ax_n,0.007330047508966042,0.011517802509379393,0.006193760194027559,530
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,within_log_cycle,2,ay_n,0.002249116572898613,0.007175065394865343,0.0019819201541931715,530
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,within_log_cycle,2,az_n,0.9235293921350909,0.8948045941049053,1.007680293544819,530
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,within_log_cycle,2,p_dot,0.5259709130004202,0.49492818662472504,0.39134344891010864,530
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,within_log_cycle,2,q_dot,0.6506371741786223,0.6071431614757912,0.5483182253950649,530
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,within_log_cycle,2,r_dot,0.11378251620896729,0.10783562244722722,0.08134190003394086,530
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,within_log_cycle,3,p,0.7134864946735882,0.6892776729999457,0.5200021328691194,530
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,within_log_cycle,3,q,0.6048512598380638,0.5457182069507978,0.4469165673132784,530
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,within_log_cycle,3,r,0.14048643590545196,0.11641636108607922,0.10443735231925338,530
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,within_log_cycle,3,ax_n,0.007753869919162493,0.012151960769458792,0.006551882616890597,530
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,within_log_cycle,3,ay_n,0.00248718779514423,0.009424314321813676,0.0021917083702367064,530
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,within_log_cycle,3,az_n,0.9369169593197809,0.9124651986003015,1.0222877199520402,530
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,within_log_cycle,3,p_dot,0.5825389445950634,0.4957060223322689,0.43343233260145136,530
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,within_log_cycle,3,q_dot,0.6937378563723557,0.6088562123203465,0.5846409110817834,530
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,within_log_cycle,3,r_dot,0.4493652907384962,0.34712181729843095,0.3212464249853942,530
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,t0_relative,3,p,0.007142267506316968,-0.0026728708504211163,0.005218249975587136,530
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,t0_relative,3,q,0.013440981641439143,-0.005323837507560603,0.010034591116037554,530
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,t0_relative,3,r,0.001132806744627679,-0.0021424062240671393,0.0007977403001848074,530
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,t0_relative,3,ax_n,0.0016641554873930708,-0.0009429230663746679,0.0014038959979026334,530
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,t0_relative,3,ay_n,0.003861440393897353,-0.002682358328731649,0.0035227476988273277,530
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,t0_relative,3,az_n,0.008351195691695068,-0.003440131841717431,0.009150179895504304,530
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,t0_relative,3,p_dot,0.004457166642274801,-0.003360913768571505,0.003439538882427496,530
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,t0_relative,3,q_dot,0.007884237460591081,-0.0026258828181786598,0.007067903680842106,530
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,t0_relative,3,r_dot,0.0019279081116492236,-0.003862899455047586,0.0014178875194546295,530
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,within_log_native,3,p,0.6892397590155561,0.6643851633393605,0.5110376566473899,530
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,within_log_native,3,q,0.6029498034311139,0.5135546032695258,0.44880290387444016,530
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,within_log_native,3,r,0.17475586711623736,0.13650438514359586,0.12275634389767377,530
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,within_log_native,3,ax_n,0.006405513254274298,0.009700320360630288,0.0054421970249287025,530
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,within_log_native,3,ay_n,0.0005521108837327482,0.003743656871779244,0.0004955076165793105,530
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,within_log_native,3,az_n,0.9241861804203924,0.8992281555282111,1.0137642370481472,530
train,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,within_log_native,3,p_dot,0.5116459055179433,0.42721865653772995,0.3932051474973062,530
