split,log_id,topic,present
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,airspeed,True
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,airspeed_validated,True
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,airspeed_quality_input,True
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,airspeed_selector_quality_status,True
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,wind,True
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,estimator_wind,True
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,airspeed_wind,True
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,sensor_gps,True
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,vehicle_gps_position,True
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,vehicle_local_position,True
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,actuator_servos,True
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,actuator_outputs,True
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,actuator_motors,True
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,actuator_servos_trim,False
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,servo_feedback,False
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,esc_status,False
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,esc_report,False
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,rpm,True
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,encoder_count,True
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,wing_phase,True
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,battery_status,True
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,vehicle_angular_velocity,True
validation,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,vehicle_acceleration,True
validation,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,airspeed,True
validation,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,airspeed_validated,True
validation,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,airspeed_quality_input,True
validation,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,airspeed_selector_quality_status,True
validation,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,wind,True
validation,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,estimator_wind,True
validation,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,airspeed_wind,True
validation,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,sensor_gps,True
validation,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,vehicle_gps_position,True
validation,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,vehicle_local_position,True
validation,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,actuator_servos,True
validation,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,actuator_outputs,True
validation,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,actuator_motors,True
validation,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,actuator_servos_trim,False
validation,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,servo_feedback,False
validation,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,esc_status,False
validation,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,esc_report,False
validation,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,rpm,True
validation,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,encoder_count,True
validation,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,wing_phase,True
validation,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,battery_status,True
validation,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,vehicle_angular_velocity,True
validation,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,vehicle_acceleration,True
validation,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,airspeed,True
validation,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,airspeed_validated,True
validation,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,airspeed_quality_input,True
validation,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,airspeed_selector_quality_status,True
validation,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,wind,True
validation,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,estimator_wind,True
validation,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,airspeed_wind,True
validation,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,sensor_gps,True
validation,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,vehicle_gps_position,True
validation,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,vehicle_local_position,True
validation,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,actuator_servos,True
validation,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,actuator_outputs,True
validation,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,actuator_motors,True
validation,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,actuator_servos_trim,False
validation,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,servo_feedback,False
validation,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,esc_status,False
validation,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,esc_report,False
validation,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,rpm,True
validation,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,encoder_count,True
validation,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,wing_phase,True
validation,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,battery_status,True
validation,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,vehicle_angular_velocity,True
validation,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,vehicle_acceleration,True
validation,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,airspeed,True
validation,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,airspeed_validated,True
validation,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,airspeed_quality_input,True
validation,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,airspeed_selector_quality_status,True
validation,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,wind,True
validation,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,estimator_wind,True
validation,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,airspeed_wind,True
validation,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,sensor_gps,True
validation,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,vehicle_gps_position,True
validation,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,vehicle_local_position,True
validation,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,actuator_servos,True
validation,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,actuator_outputs,True
validation,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,actuator_motors,True
validation,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,actuator_servos_trim,False
validation,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,servo_feedback,False
validation,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,esc_status,False
validation,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,esc_report,False
validation,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,rpm,True
validation,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,encoder_count,True
validation,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,wing_phase,True
validation,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,battery_status,True
validation,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,vehicle_angular_velocity,True
validation,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,vehicle_acceleration,True
