split,log_id,topic,instance,count
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,mission_result,0,4
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,navigator_mission_item,0,3
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,navigator_status,0,1612
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,parameter_update,0,1
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,position_setpoint_triplet,0,8
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,px4io_status,0,800
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,radio_status,0,762
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,rate_ctrl_status,0,998
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,rpm,0,81752
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,rtl_status,0,404
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,rtl_time_estimate,0,404
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,sensor_accel,0,81752
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,sensor_accel,1,817
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,sensor_baro,0,817
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,sensor_combined,0,817
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,sensor_gnss_relative,0,4081
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,sensor_gps,0,817
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,sensor_gyro,0,81752
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,sensor_gyro,1,817
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,sensor_mag,0,817
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,sensor_mag,1,817
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,sensor_selection,0,1
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,sensors_status_imu,0,4088
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,spoilers_setpoint,0,817
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,system_power,0,1635
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,tecs_status,0,1994
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,telemetry_status,0,817
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,transponder_report,0,1
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,vehicle_acceleration,0,817
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,vehicle_air_data,0,14190
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,vehicle_angular_velocity,0,81752
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,vehicle_attitude,0,40877
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,vehicle_attitude_setpoint,0,9964
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,vehicle_command,0,19
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,vehicle_command_ack,0,11
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,vehicle_control_mode,0,1665
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,vehicle_global_position,0,4088
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,vehicle_gps_position,0,4089
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,vehicle_imu,0,1635
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,vehicle_imu,1,1635
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,vehicle_imu_status,0,817
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,vehicle_imu_status,1,817
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,vehicle_land_detected,0,814
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,vehicle_local_position,0,40877
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,vehicle_local_position_setpoint,0,1000
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,vehicle_rates_setpoint,0,9964
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,vehicle_status,0,1665
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,vehicle_thrust_setpoint,0,40877
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,vehicle_torque_setpoint,0,40877
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,wind,0,4010
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,wing_phase,0,81750
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,yaw_estimator_status,0,816
train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,yaw_estimator_status,1,816
