experiment,partition,window_id,log_id,step,actual_duration_s,dt_s,epsilon,epsilon_control,epsilon_max_matrix_difference,singular_epsilon_difference,radius_epsilon_difference,largest_singular,spectral_radius,dynamic_largest_singular,dynamic_spectral_radius,rigid_largest_singular,rigid_spectral_radius
R2,train,train:2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg:1:0,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,0,0.0,0.019961,0.001,0.002,0.00047683716,8.8406234296734e-05,0.0003325790398949202,1.1633980309724898,1.0019597977211225,1.1633914455633565,1.0019597977211225,1.0395316550445506,1.0007468896103069
R2,train,train:2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg:1:900,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,0,0.0,0.019961,0.001,0.002,0.0019073486,1.1160094445017421e-05,0.0009536147117614746,1.1634578074071786,0.9994506239891052,1.1634523466242297,0.9986525227298199,1.0379635083308874,0.9973324446241004
R2,train,train:2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg:2:320,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,0,0.0,0.019961,0.001,0.002,0.0019073486,1.7774930770153574e-05,7.523148696697568e-05,1.1650275737369522,1.0003569224550974,1.1650245179308767,1.0003569224550997,1.0390808630605088,0.9964862867551787
R2,train,train:2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg:2:1220,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,0,0.0,0.01996,0.001,0.002,0.0019073486,2.4620621288384825e-06,0.0009536147117614746,1.1653873782393969,0.9994506239891052,1.1653820278549494,0.9990979862934791,1.0425129637808257,0.997261953917158
R2,train,train:2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg:2:2120,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,0,0.0,0.009981,0.001,0.002,0.0019073486,6.0945575910187344e-05,0.0009536147117614746,1.0794697782266018,0.9994506239891052,1.0794675508206804,0.9990878978386709,1.019369841673076,0.9973942103133397
R2,train,train:2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg:2:3020,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,0,0.0,0.01996,0.001,0.002,0.0009536743,0.00019819465324699692,7.18781767130583e-05,1.1626703659651634,1.0015756454337283,1.1626679056950782,1.0015756454337275,1.0434595083521547,1.0002901902278443
R2,train,train:2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg:3:10,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,0,0.0,0.01996,0.001,0.002,0.007629335,8.39674595058959e-05,0.005082715032658891,1.1623532284617069,1.0070799589157104,1.1623506962533217,1.0020420619019623,1.0407015636117105,0.9997932715533403
R2,train,train:2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg:4:60,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,0,0.0,0.01996,0.001,0.002,0.0009536147,0.00014172310614335437,0.0009536147117614746,1.1621806641730057,0.9994506239891052,1.162178153393234,0.9981802191134864,1.037937077229525,0.9972183718311907
R2,train,train:2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg:4:960,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,0,0.0,0.01996,0.001,0.002,0.007629335,2.8324567259208067e-05,0.006218350721633126,1.1700285750889434,1.0070799589157104,1.1700238183221356,1.0008552392799435,1.0404224981877657,1.0031254232481124
R2,train,train:2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg:4:1860,2026.8.10-8.20/log_18_2026-8-19-07-03-30.ulg,0,0.0,0.019958999999999998,0.001,0.002,0.0009536147,2.4789671456693085e-05,5.9040174083868635e-05,1.1643536373672336,1.0050781929063142,1.1643429491494002,1.005078192906312,1.0400410859753186,1.0010923444268356
R2,train,train:2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg:0:0,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,0,0.0,0.019962999999999998,0.001,0.002,0.00047677755,2.1629001830225647e-05,5.185222338188744e-05,1.1620929152311716,1.0081051818580664,1.1620846068524766,1.0081051818580664,1.044177940956352,1.008315295417087
R2,train,train:2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg:0:710,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,0,0.0,0.019962999999999998,0.001,0.002,0.0019073486,1.684886305830524e-05,0.0004767775535583496,1.1626316570043176,1.0004042387008667,1.1626269974908259,0.9976010924422276,1.0379984753270572,0.9950995024880342
R2,train,train:2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg:0:1420,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,0,0.0,0.019962,0.001,0.002,0.0019073486,6.19274909134937e-05,0.0006815998878073604,1.1635860424176347,0.9997226388130593,1.1635797864603084,0.9997226388130594,1.039589196989323,1.0022575236134275
R2,train,train:2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg:3:300,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,0,0.0,0.019962,0.001,0.002,0.0019073486,1.4435895792530573e-05,0.0001605527428623077,1.1653508922815619,1.000668145757286,1.1653472116267887,1.0006681457572866,1.0408429686821306,1.0004895290681377
R2,train,train:2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg:3:1010,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,0,0.0,0.019962,0.001,0.002,0.0019073486,0.00010281847616933071,0.0,1.1635279536635288,1.0004042387008667,1.1635263495656076,0.9992193412123289,1.0396416799727632,0.9976543186918967
R2,train,train:2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg:3:1720,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,0,0.0,0.019962,0.001,0.002,0.00095367426,0.00012048948570186901,8.639213313421656e-05,1.1678811590763323,1.0019378611611742,1.1678799411960776,1.0019378611611773,1.0484161722056955,1.0007055378594811
R2,train,train:2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg:3:2440,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,0,0.0,0.019962,0.001,0.002,0.007629335,7.162845925878791e-05,0.00667572021484375,1.1653548470641495,1.0070799589157104,1.1653529802773515,0.998960063145419,1.040347556867012,0.9980936277451022
R2,train,train:2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg:4:120,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,0,0.0,0.00998,0.001,0.002,0.0009536743,2.3645821887186003e-06,0.00010127151314742733,1.0788064814033158,1.0012034677446333,1.0788025733603772,1.001203467744635,1.0230206483530038,0.9997256516855397
R2,train,train:2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg:4:830,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,0,0.0,0.019961,0.001,0.002,0.0019073486,3.2996849434141495e-05,1.182085145856604e-05,1.1630175034094712,1.0006245109344554,1.1630055105688462,1.0006245109344551,1.0420631478975633,1.0006918515391419
R2,train,train:2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg:4:1550,2026.8.10-8.20/log_1_2026-8-19-17-20-36.ulg,0,0.0,0.019962,0.001,0.002,0.0009536743,8.65401530538712e-05,0.0002096423620969734,1.1645138015196743,1.0025289375243003,1.1645061404768622,1.0025289375243016,1.0448090089864015,1.0018972680399916
R2,train,train:2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg:0:0,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,0,0.0,0.019961,0.001,0.002,0.00029802334,8.362046996035488e-05,1.9115183780726852e-05,1.163447303828983,1.0091886417756961,1.163439472985098,1.0091886417756946,1.041963668013774,1.0090751305954968
R2,train,train:2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg:0:600,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,0,0.0,0.019961,0.001,0.002,0.00047683713,3.4479436278100906e-05,7.727304606475194e-05,1.1658930841708905,1.002099213875583,1.1658904712275249,1.0020992138755842,1.0429217784465388,1.002255362406595
R2,train,train:2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg:3:590,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,0,0.0,0.019961,0.001,0.002,0.0076293945,2.0473570317314227e-05,0.00667572021484375,1.1660360999099237,1.0070799589157104,1.16602860053634,0.9980532759339914,1.0386381364713309,0.9949879824970814
R2,train,train:2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg:3:1190,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,0,0.0,0.01996,0.001,0.002,0.0019073486,2.7712780673150306e-05,0.0009536147117614746,1.1651003277678322,0.9994506239891052,1.1650982447398737,0.9990314557644937,1.0385371621563715,0.9973158643165236
R2,train,train:2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg:3:1790,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,0,0.0,0.019961,0.001,0.002,0.0019073486,2.9225357152551368e-05,9.81794396777147e-05,1.16446906341563,1.0004553570651062,1.1644643698929322,1.000455357065107,1.0428916763506273,1.001654668597084
R2,train,train:2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg:3:2400,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,0,0.0,0.019961,0.001,0.002,0.0076293945,2.5638172651998303e-05,0.00667572021484375,1.1630877682934933,1.0070799589157104,1.1630840452266273,0.9990065407040047,1.0421217071294635,0.9977476794523981
R2,train,train:2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg:3:3000,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,0,0.0,0.00998,0.001,0.002,0.0019073486,1.9233680401242736e-05,3.945022802498421e-05,1.0795676812416284,1.000799014997257,1.0795667119718686,1.000799014997257,1.0208989685414194,1.0017172687385516
R2,train,train:2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg:4:290,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,0,0.0,0.01996,0.001,0.002,0.0019073486,8.369489022053145e-06,5.561377453133787e-05,1.1628566801973441,1.0007443478578737,1.1628494322941618,1.0007443478578748,1.0433921305134959,0.9995403318179473
R2,train,train:2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg:4:890,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,0,0.0,0.009981,0.001,0.002,0.0019073486,8.959603883695877e-06,0.00031976727553439943,1.0791081637393094,1.0004042387008667,1.0791039985516981,1.0001779247412603,1.0198369973523063,0.9988620169585674
R2,train,train:2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg:4:1500,2026.8.10-8.20/log_5_2026-8-19-18-31-42.ulg,0,0.0,0.01996,0.001,0.002,0.00017029978,7.9885622648046e-06,7.69876328043928e-06,1.1646038894064505,1.0023848304775003,1.1645957477040652,1.0023848304775003,1.0402403997640337,0.99956399348265
R2,train,train:2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg:0:0,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,0,0.0,0.009981,0.001,0.002,0.0002977252,9.26393773397205e-05,0.0001438866693195262,1.0792988388911233,1.0050119230934638,1.079296018067037,1.0050119230934624,1.0206265322426664,1.0049668345253677
R2,train,train:2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg:0:650,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,0,0.0,0.019961,0.001,0.002,0.0009536147,9.650743827060992e-05,0.0,1.1634449563752638,1.0004042387008667,1.1634397021228282,0.9988682862572483,1.0391776940587991,0.9972418837092886
R2,train,train:2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg:3:260,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,0,0.0,0.019961,0.001,0.002,0.0019073486,3.1696033018668857e-05,0.0004767775535583496,1.1626941811260139,1.0004042387008667,1.1626912370993843,0.9989112712721877,1.039219555388285,0.997074527568774
R2,train,train:2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg:3:910,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,0,0.0,0.019961,0.001,0.002,0.0019073486,4.582853249557317e-05,0.00012852428806553462,1.1624424177075905,1.0015732996906428,1.1624396309192357,1.0015732996906435,1.0419772631862854,0.999054336782856
R2,train,train:2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg:3:1570,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,0,0.0,0.019961,0.001,0.002,0.0019073486,1.2121186782731996e-05,0.0004767775535583496,1.1633143536462565,0.9999274611473083,1.1633109518883753,0.9994140854234653,1.0380892327761575,0.9977911817681029
R2,train,train:2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg:3:2220,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,0,0.0,0.01996,0.001,0.002,0.007629335,2.2787885683106524e-05,0.00667572021484375,1.1623529335149172,1.0070799589157104,1.1623477545929677,0.9988956591966006,1.041698647608468,0.9980519547192825
R2,train,train:2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg:3:2880,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,0,0.0,0.019961,0.001,0.002,0.0019073486,2.04483147974166e-05,3.849333951255751e-05,1.1623548357878917,1.0014993464080126,1.1623522680389304,1.001499346408013,1.0390767101910978,1.0011566516131118
R2,train,train:2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg:4:160,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,0,0.0,0.01996,0.001,0.002,0.0019073486,6.926533385298583e-05,0.0009536147117614746,1.162608568014666,0.9994506239891052,1.1626070087512064,0.9977605501155319,1.0402038969775456,0.9980744259488641
R2,train,train:2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg:4:820,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,0,0.0,0.019961,0.001,0.002,0.0038146377,5.2796066305482725e-06,0.00286102294921875,1.1628567686735256,1.0032652616500854,1.1628507879651684,0.999993095486809,1.0415481047914097,0.9995888237305341
R2,train,train:2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg:4:1480,2026.8.10-8.20/log_6_2026-8-19-18-40-42.ulg,0,0.0,0.01996,0.001,0.002,0.0009536743,1.5263132558951398e-05,4.469532613571303e-05,1.1654017873106057,1.0012082890846896,1.165397845423853,1.0012082890846878,1.0417868285554253,1.0018465518238593
