model,seed,cohort,horizon_s,position_rmse_m,velocity_rmse_m_s,attitude_error_deg,body_rate_rmse_rad_s,delta_v_rmse_m_s,delta_omega_rmse_rad_s,velocity_x_rmse_m_s,velocity_y_rmse_m_s,velocity_z_rmse_m_s,body_rate_p_rmse_rad_s,body_rate_q_rmse_rad_s,body_rate_r_rmse_rad_s,n_flights,n_windows
B2_StandardGRU,17,Sep7,0.2,0.0972454715532661,0.1662465711642389,2.0103843577243063,0.5891628268339152,0.1662465711642389,0.5891628268339152,0.07645777377907881,0.08618483753450734,0.11719348984016673,0.5303107176961129,0.21235639053589225,0.14026758950468807,9,1481
B2_StandardGRU,17,Sep7,0.5,0.2494006868689943,0.34246965574354504,3.59586985452981,0.6312629331152156,0.34246965574354504,0.6312629331152156,0.1916283401767212,0.19626960696790133,0.20074443124669683,0.5596513339601465,0.25224912016174084,0.14146655961309493,9,1481
B2_StandardGRU,17,Sep7,1.0,0.5718228821159352,0.6088813935646746,5.915279808353674,0.6261384333078338,0.6088813935646746,0.6261384333078338,0.3727206239815905,0.39769939191670284,0.2685040134236973,0.5287396498703291,0.29618311405412,0.15019130627370447,9,1481
B3_ActuatorAwareGRU,17,ALL,0.1,0.035396466238172546,0.15124914891401997,1.4780176093451347,0.5715288808592203,0.15124914891401997,0.5715288808592203,0.0654034244407922,0.06681917909798797,0.1147783054987289,0.49623547325556494,0.24400184276270476,0.1412254452606109,17,2582
B3_ActuatorAwareGRU,17,ALL,0.2,0.07072782843006604,0.2100937550540827,2.499659174767993,0.6035328353857424,0.2100937550540827,0.6035328353857424,0.09666484930452958,0.09663823792969811,0.1569790789632697,0.5146702465896609,0.2696585615721682,0.1568252613462574,17,2582
B3_ActuatorAwareGRU,17,ALL,0.5,0.1965064695289956,0.40850298513092137,4.796144446391968,0.6568476501073109,0.40850298513092137,0.6568476501073109,0.2093990852663563,0.20045124673750828,0.28431326071949803,0.5501310149177058,0.31268056566890196,0.16920342093203397,17,2582
B3_ActuatorAwareGRU,17,ALL,1.0,0.49049611537052396,0.7273870359218184,7.302598090893102,0.7169401931008856,0.7273870359218184,0.7169401931008856,0.4133430643906766,0.4263388572993324,0.41809988040079615,0.5534144071285195,0.40966742620371976,0.19056773217349435,17,2582
B3_ActuatorAwareGRU,17,Sep17,0.1,0.018653618833441327,0.15726122842711499,1.5317931488520617,0.5606782158297255,0.15726122842711499,0.5606782158297255,0.0642819053687884,0.061422478451705086,0.12933718568838265,0.47944625915618333,0.2535347634145914,0.13936098703029604,8,1101
B3_ActuatorAwareGRU,17,Sep17,0.2,0.04063829911703534,0.23279251218922214,2.6861664285730757,0.5829801525771259,0.23279251218922214,0.5829801525771259,0.10891016675513748,0.09776698902537825,0.178872475313867,0.47752898975038505,0.2880258181832455,0.1675873277381786,8,1101
B3_ActuatorAwareGRU,17,Sep17,0.5,0.13676407875938063,0.447145623116588,5.447976224824533,0.6429055867423623,0.447145623116588,0.6429055867423623,0.218019231390656,0.2015501025475985,0.332435883375688,0.5148196211388527,0.3354960879010924,0.18790457945509886,8,1101
B3_ActuatorAwareGRU,17,Sep17,1.0,0.40398872543386316,0.8042164753197514,8.104390542954807,0.7377041197547676,0.8042164753197514,0.7377041197547676,0.4559664524798253,0.4734985177381497,0.461789324839851,0.5386379459806914,0.45363577822916984,0.21642420989621172,8,1101
B3_ActuatorAwareGRU,17,Sep7,0.1,0.05027899726460029,0.1459050782357133,1.4302171297834219,0.5811739164409934,0.1459050782357133,0.5811739164409934,0.06640033028257335,0.0716162463391283,0.10183707866348111,0.511159219121682,0.23552813551658336,0.14288274146533522,9,1481
B3_ActuatorAwareGRU,17,Sep7,0.2,0.09747407670831557,0.18991708204506985,2.3338749491634747,0.6218018867711793,0.18991708204506985,0.6218018867711793,0.085780122681767,0.09563490362242688,0.1375182822071833,0.5476846971134618,0.25333211125121063,0.1472589801089941,9,1481
B3_ActuatorAwareGRU,17,Sep7,0.5,0.24961081687976444,0.37415397358810654,4.216738421118577,0.6692405953205984,0.37415397358810654,0.6692405953205984,0.20173673315586776,0.19947448601742807,0.24153759613621803,0.5815189204989086,0.29240010146251044,0.15258016891153184,9,1481
B3_ActuatorAwareGRU,17,Sep7,1.0,0.5673915730920003,0.6590942009014337,6.589893689060475,0.6984833694085463,0.6590942009014337,0.6984833694085463,0.37545560831143326,0.3844191591314948,0.37926481867719186,0.5665490392599224,0.3705844466255419,0.16758419641996783,9,1481
