experiment,partition,horizon_s,signal,source,temporal_std_median,rms_median,mean_vector_norm_median,temporal_delta_norm_mean,norm_at_horizon_median
A1_longer_rollout,validation,3.0,gru_hidden,pred,0.9402119517326355,1.820927619934082,1.4627430438995361,0.27646780014038086,1.6293761730194092
A1_longer_rollout,validation,5.0,velocity_n,pred,1.1018046140670776,6.64431095123291,6.523714065551758,0.025301571935415268,6.424514293670654
A1_longer_rollout,validation,5.0,velocity_n,truth,1.9712163830965994,6.9301480249101,6.524022345863257,0.1909226171539225,6.919785146441636
A1_longer_rollout,validation,5.0,angular_velocity_b,pred,0.1529107391834259,0.18358588218688965,0.08434750139713287,0.01756996288895607,0.10534601658582687
A1_longer_rollout,validation,5.0,angular_velocity_b,truth,0.7525308031737107,0.7746364650642712,0.16787470104098123,0.5289769624908586,0.7123669152090975
A1_longer_rollout,validation,5.0,acceleration_n,pred,1.0399809185887494,1.2914283157637874,0.5990644574938868,0.23667538265034035,0.9644389340101582
A1_longer_rollout,validation,5.0,acceleration_n,truth,10.475463862155195,10.562607107945336,1.1164437961893419,5.575785369054892,8.93858740073076
A1_longer_rollout,validation,5.0,angular_acceleration_b,pred,1.2983061208094575,1.3072965033796886,0.14311676216296643,0.3616391995677015,0.6376397253597298
A1_longer_rollout,validation,5.0,angular_acceleration_b,truth,29.556915764880117,29.55864065309321,0.3106129284783611,33.91313887709889,25.225955878977192
A1_longer_rollout,validation,5.0,gru_hidden,pred,1.0039746761322021,1.774715781211853,1.3981833457946777,0.2741161584854126,1.5832595825195312
