model,window_id,log_id,cohort,horizon_s,position_horizontal_m,position_vertical_m,position_m,velocity_m_s,attitude_deg,body_rate_rad_s,frequency_hz,phase_rad,velocity_x_m_s,velocity_y_m_s,velocity_z_m_s,body_rate_p_rad_s,body_rate_q_rad_s,body_rate_r_rad_s
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:2525,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,1.0,0.14514514036342105,0.04680824279785156,0.1525061420564425,0.48607286111265924,7.562756465109729,0.5515454387983721,0.06576061248779297,0.22622553966140657,0.18425893783569336,0.4200153648853302,0.16094273328781128,0.4577898010611534,0.18487244844436646,0.24587201327085495
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:2575,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,1.0,0.2795870917165676,0.07595252990722656,0.28972008672827043,0.8487405458720925,9.10160424993333,0.3147145828836361,0.019524097442626953,0.1645148141260293,0.576596736907959,0.010134458541870117,0.62273108959198,0.15097832679748535,0.0075345635414123535,0.2760326862335205
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:2625,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,1.0,0.09604918056597464,0.11015510559082031,0.1461492127078349,0.33974241561599566,5.686257738031521,0.7990482620671169,0.034876346588134766,0.4188211473810312,0.054132938385009766,0.33063340187072754,0.05635678768157959,0.18481463193893433,0.5864923596382141,0.5102434605360031
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:2675,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,1.0,0.18738638553194067,0.23458480834960938,0.30023938747464174,0.6301618602927854,6.301474292394568,0.6100385662044138,0.04781913757324219,0.004837850425623458,0.4379401206970215,0.06874370574951172,0.44786909222602844,0.4919891208410263,0.3202552795410156,0.165922611951828
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:2725,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,1.0,0.1094900364571272,0.08942413330078125,0.14136740678097953,0.43782719610846127,2.9304872852925468,0.558634325078962,0.05103182792663574,0.28540965425167286,0.3685605525970459,0.22367143630981445,0.07633388042449951,0.5119468122720718,0.11496281623840332,0.19174546003341675
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:2775,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,1.0,0.23707449735681807,0.22060203552246094,0.3238357228189025,0.8076643048218977,12.865992583553405,0.3938169351230858,0.032750606536865234,0.3511878413409235,0.6061122491955757,0.4687919616699219,0.25531092286109924,0.12150046229362488,0.3745940923690796,0.002946525812149048
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:2825,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,1.0,0.32748466299883555,0.036701202392578125,0.32953479748961545,0.7845533243160939,8.482774341086792,0.9143961642640214,0.07730603218078613,0.034575114867315904,0.7038254737854004,0.31372833251953125,0.1474047303199768,0.4100893884897232,0.6099138855934143,0.5440147891640663
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:2875,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,1.0,0.2799325173125745,0.029689788818359375,0.2815025715851165,0.9789712504854713,13.461778536156018,0.12060863681536693,0.014885187149047852,0.5130875542617659,0.5985417366027832,0.7465195655822754,0.20698076486587524,0.00319632887840271,0.0024500489234924316,0.12054137885570526
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:2925,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,1.0,0.14046049586757758,0.2732105255126953,0.3072021193779251,0.7324386709757886,5.8074659359094465,0.6198545475593106,0.04076981544494629,0.07309482302263604,0.47338056564331055,0.3285865783691406,0.45211514830589294,0.6105583757162094,0.06760668754577637,0.08287017419934273
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:2975,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,1.0,0.092303165542062,0.15894317626953125,0.18380100013800954,0.23803499912535314,5.880862698090459,0.4837077834695986,0.028319597244262695,0.2269233346546784,0.04568195343017578,0.08368754386901855,0.2181059718132019,0.3799430653452873,0.13113361597061157,0.2691105008125305
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:3025,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,1.0,0.08313328436510478,0.14772987365722656,0.1695147738107493,0.5808292020577543,5.545351032564987,1.3159794406137957,0.011587142944335938,0.03946061280878865,0.15601587295532227,0.2127377986907959,0.5174594074487686,1.3059774488210678,0.010502874851226807,0.1615997552871704
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:3075,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,1.0,0.18546569551806727,0.04624748229980469,0.19114485039642368,0.5344229178340888,7.619889162027471,0.6453210813857659,0.016649723052978516,0.14438017169762674,0.05902385711669922,0.09256649017333984,0.523025318980217,0.4923443216830492,0.37075603008270264,0.19124940037727356
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:3125,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,1.0,0.13703070397593436,0.31142234802246094,0.34023711243772764,0.8269043930176385,5.465336636522648,0.5752681250669915,0.0038232803344726562,0.11890394126657355,0.294034481048584,0.03877067565917969,0.7718882262706757,0.34411315619945526,0.4604335427284241,0.022814560681581497
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:3175,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,1.0,0.20206645275451354,0.1990528106689453,0.28364215618274913,0.3394736938114143,6.6008780189205085,0.7722903386777841,0.06437349319458008,0.051391990659247704,0.26792144775390625,0.031737327575683594,0.20604181289672852,0.7276768274605274,0.1584467887878418,0.2044832929968834
actuator_only_joint_v1,validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:3225,2026.9.7/log_21_2026-9-7-05-54-56.ulg,original_sep7,1.0,0.03762616684318821,0.4076519012451172,0.40938466143722363,0.7108325592657485,5.35157370499693,0.12304713155776133,0.0671696662902832,0.2059006472204319,0.1825246810913086,0.14447689056396484,0.6716353893280029,0.03599335812032223,0.11733418703079224,0.008818350732326508
