kind,condition,seed,group,group_rule,step,horizon_s,flight_id,cohort,n_origins,metric,value
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,144,position_rmse_m,0.01577274263192393
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,144,velocity_rmse_m_s,0.13086222058661023
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,144,attitude_error_deg,1.3729884142837063
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,144,body_rate_rmse_rad_s,0.4493565761941317
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,153,position_rmse_m,0.018297520092449032
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,153,velocity_rmse_m_s,0.1700440305343062
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,153,attitude_error_deg,1.5619469278092144
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,153,body_rate_rmse_rad_s,0.5399545934367994
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,138,position_rmse_m,0.02162859002048545
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,138,velocity_rmse_m_s,0.13475604185415355
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,138,attitude_error_deg,1.3584131333836742
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,138,body_rate_rmse_rad_s,0.5445082624346032
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,131,position_rmse_m,0.023055611492101297
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,131,velocity_rmse_m_s,0.13032111327186263
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,131,attitude_error_deg,1.4079197599700108
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,131,body_rate_rmse_rad_s,0.4977723174232873
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,146,position_rmse_m,0.01604762547430384
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,146,velocity_rmse_m_s,0.1438878117561204
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,146,attitude_error_deg,1.4032411079469824
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,146,body_rate_rmse_rad_s,0.47901806643832723
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,114,position_rmse_m,0.01603857824196098
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,114,velocity_rmse_m_s,0.20052790687115676
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,114,attitude_error_deg,1.4716326013254217
endpoint,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,114,body_rate_rmse_rad_s,0.6007279920790903
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,position_rmse_m,0.010379964307331563
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,velocity_rmse_m_s,0.08932091723353242
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,attitude_error_deg,0.9765499833418421
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168,body_rate_rmse_rad_s,0.5713051196527905
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,182,position_rmse_m,0.04118630029226997
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,182,velocity_rmse_m_s,0.08543875677236167
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,182,attitude_error_deg,1.0419826027402774
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,182,body_rate_rmse_rad_s,0.5619330319235628
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,160,position_rmse_m,0.014242408709797504
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,160,velocity_rmse_m_s,0.09070367064457117
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,160,attitude_error_deg,1.0528584668932575
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,160,body_rate_rmse_rad_s,0.5733488369911214
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,161,position_rmse_m,0.0153105597479916
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,161,velocity_rmse_m_s,0.08967418590925098
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,161,attitude_error_deg,1.0453538263303577
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,161,body_rate_rmse_rad_s,0.5742116650206587
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,position_rmse_m,0.015252477480346117
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,velocity_rmse_m_s,0.2213712617513631
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,attitude_error_deg,0.9687251268299937
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,body_rate_rmse_rad_s,0.5615754027873134
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,position_rmse_m,0.040531864427125495
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,velocity_rmse_m_s,0.07447712513386197
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,attitude_error_deg,0.9552268840620398
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,body_rate_rmse_rad_s,0.563714343465083
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,140,position_rmse_m,0.057651489558480914
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,140,velocity_rmse_m_s,0.08951346797498576
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,140,attitude_error_deg,0.9535601256043033
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,140,body_rate_rmse_rad_s,0.5400328093263668
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,201,position_rmse_m,0.02733619926662542
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,201,velocity_rmse_m_s,0.0737936349954652
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,201,attitude_error_deg,1.0177901080807676
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,201,body_rate_rmse_rad_s,0.5435004929163437
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,164,position_rmse_m,0.08583066949307745
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,164,velocity_rmse_m_s,0.0868110580257214
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,164,attitude_error_deg,0.9975723654617282
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,164,body_rate_rmse_rad_s,0.5515232269992002
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,130,position_rmse_m,0.012912734159712978
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,130,velocity_rmse_m_s,0.0961035001452292
interval,Actual,17,ALL,horizon_specific_train_quantiles,5,0.1,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,130,attitude_error_deg,1.0583452411097394
