kind,condition,group,group_rule,step,horizon_s,metric,cohort,mean,std,min,max,n_seeds,n_flights,n_origins
interval,Actual,high,horizon_specific_train_quantiles,10,0.2,velocity_rmse_m_s,Sep17,0.2296100812583176,0.004371976614799622,0.22543101321524578,0.23415231221157717,3,8,272
interval,Actual,high,horizon_specific_train_quantiles,10,0.2,velocity_rmse_m_s,Sep7,0.19343474140890338,0.003423826698773253,0.18954270621227964,0.19598212061591183,3,9,231
interval,Actual,high,horizon_specific_train_quantiles,25,0.5,attitude_error_deg,ALL,3.3941823006661225,0.023418285204881546,3.367857173509291,3.4126980728216116,3,17,454
interval,Actual,high,horizon_specific_train_quantiles,25,0.5,attitude_error_deg,Sep17,3.879111889809432,0.08569936069763619,3.7941549739776588,3.9655348839414204,3,8,269
interval,Actual,high,horizon_specific_train_quantiles,25,0.5,attitude_error_deg,Sep7,2.963133776983181,0.03656548750496721,2.921287574048448,2.988925795315186,3,9,185
interval,Actual,high,horizon_specific_train_quantiles,25,0.5,body_rate_rmse_rad_s,ALL,0.6212545288143884,0.0008671483073418054,0.6203802919258606,0.6221144102939081,3,17,454
interval,Actual,high,horizon_specific_train_quantiles,25,0.5,body_rate_rmse_rad_s,Sep17,0.619446113123361,0.0038906735688394333,0.6149939795041075,0.6221929682743519,3,8,269
interval,Actual,high,horizon_specific_train_quantiles,25,0.5,body_rate_rmse_rad_s,Sep7,0.6228620094286349,0.0020251603742756537,0.6213733221183054,0.625168125189641,3,9,185
interval,Actual,high,horizon_specific_train_quantiles,25,0.5,position_rmse_m,ALL,0.12988540003212054,0.0012060382981621419,0.12871822354675577,0.13112686566888368,3,17,454
interval,Actual,high,horizon_specific_train_quantiles,25,0.5,position_rmse_m,Sep17,0.090193120025028,0.0022421634566443405,0.08843463461238968,0.09271799141257053,3,8,269
interval,Actual,high,horizon_specific_train_quantiles,25,0.5,position_rmse_m,Sep7,0.16516742670509169,0.0014756815847443293,0.16364399198820642,0.16659020089701768,3,9,185
