partition,steps,group,variant,axis,rmse
validation,25,high_change,signed_diagnostic,vx,0.263699588096975
validation,25,high_change,signed_diagnostic,vy,0.2777627350401904
validation,25,high_change,signed_diagnostic,vz,0.2852789069732811
validation,25,high_change,zero_baseline,p,0.5594268350778752
validation,25,high_change,zero_baseline,q,0.28229903934551226
validation,25,high_change,zero_baseline,r,0.18024538050054298
validation,25,high_change,zero_baseline,vx,0.2724749134532124
validation,25,high_change,zero_baseline,vy,0.27867489159225517
validation,25,high_change,zero_baseline,vz,0.28448353025722595
validation,50,ALL,persistent_gain_clipped_0_1,p,0.5114070778205175
validation,50,ALL,persistent_gain_clipped_0_1,q,0.28598595066889965
validation,50,ALL,persistent_gain_clipped_0_1,r,0.16358875909666204
validation,50,ALL,persistent_gain_clipped_0_1,vx,0.370297179145449
validation,50,ALL,persistent_gain_clipped_0_1,vy,0.39410380153824187
validation,50,ALL,persistent_gain_clipped_0_1,vz,0.29338304730408177
validation,50,ALL,signed_diagnostic,p,0.5126259044849376
validation,50,ALL,signed_diagnostic,q,0.2859597652960639
validation,50,ALL,signed_diagnostic,r,0.16358875909666204
validation,50,ALL,signed_diagnostic,vx,0.370297179145449
validation,50,ALL,signed_diagnostic,vy,0.39410380153824187
validation,50,ALL,signed_diagnostic,vz,0.29338304730408177
validation,50,ALL,zero_baseline,p,0.5114070778205175
validation,50,ALL,zero_baseline,q,0.28598595066889965
validation,50,ALL,zero_baseline,r,0.16301338676729354
validation,50,ALL,zero_baseline,vx,0.375718656174033
validation,50,ALL,zero_baseline,vy,0.39773527598271974
validation,50,ALL,zero_baseline,vz,0.2930226004674415
validation,50,high_change,persistent_gain_clipped_0_1,p,0.5235968045156972
validation,50,high_change,persistent_gain_clipped_0_1,q,0.3243578174881666
validation,50,high_change,persistent_gain_clipped_0_1,r,0.17937407513708037
validation,50,high_change,persistent_gain_clipped_0_1,vx,0.43733445115739555
validation,50,high_change,persistent_gain_clipped_0_1,vy,0.526071432925989
validation,50,high_change,persistent_gain_clipped_0_1,vz,0.3436668802614641
validation,50,high_change,signed_diagnostic,p,0.5238558298518907
validation,50,high_change,signed_diagnostic,q,0.3241831792085451
validation,50,high_change,signed_diagnostic,r,0.17937407513708037
validation,50,high_change,signed_diagnostic,vx,0.43733445115739555
validation,50,high_change,signed_diagnostic,vy,0.526071432925989
validation,50,high_change,signed_diagnostic,vz,0.3436668802614641
validation,50,high_change,zero_baseline,p,0.5235968045156972
validation,50,high_change,zero_baseline,q,0.3243578174881666
validation,50,high_change,zero_baseline,r,0.17873564726208196
validation,50,high_change,zero_baseline,vx,0.44920756246390803
validation,50,high_change,zero_baseline,vy,0.5349089144084997
validation,50,high_change,zero_baseline,vz,0.3417524611673657
