model,offset,origin,steps,common_steps,feedback_rmse,hold_rmse
ensemble,0.0,36,10,0,,
ensemble,0.0,36,25,0,,
ensemble,0.0,36,50,0,,
ensemble,0.0,37,5,5,0.32868163453212834,0.33470460282777514
ensemble,0.0,37,10,10,0.40347429859260453,0.40462825080831044
ensemble,0.0,37,25,25,0.4110547824545461,0.41008056965513534
ensemble,0.0,37,50,50,0.41857003857593106,0.41471345714221725
ensemble,0.0,38,5,0,,
ensemble,0.0,38,10,0,,
ensemble,0.0,38,25,0,,
ensemble,0.0,38,50,0,,
ensemble,0.0,39,5,0,,
ensemble,0.0,39,10,0,,
ensemble,0.0,39,25,0,,
ensemble,0.0,39,50,0,,
ensemble,0.0,40,5,5,0.7619626019249102,0.7442757016583802
ensemble,0.0,40,10,10,0.5703373292881538,0.5573237462565067
ensemble,0.0,40,25,25,0.5350927395613054,0.5294219403721218
ensemble,0.0,40,50,50,0.5272009027994864,0.5262997731774137
ensemble,0.0,41,5,0,,
ensemble,0.0,41,10,0,,
ensemble,0.0,41,25,0,,
ensemble,0.0,41,50,0,,
ensemble,0.0,42,5,0,,
ensemble,0.0,42,10,0,,
ensemble,0.0,42,25,0,,
ensemble,0.0,42,50,0,,
ensemble,0.0,43,5,5,0.7168996414563048,0.6965706260100696
ensemble,0.0,43,10,10,0.7761738631002036,0.759161845160669
ensemble,0.0,43,25,25,0.7065663637412671,0.7034000908634015
ensemble,0.0,43,50,50,0.6892062929144558,0.68862171657119
ensemble,0.0,44,5,0,,
ensemble,0.0,44,10,0,,
ensemble,0.0,44,25,0,,
ensemble,0.0,44,50,0,,
ensemble,0.0,45,5,0,,
ensemble,0.0,45,10,0,,
ensemble,0.0,45,25,0,,
ensemble,0.0,45,50,0,,
ensemble,0.0,46,5,5,0.50855678972014,0.5018145957849384
ensemble,0.0,46,10,10,0.5439371776898204,0.5346762433073717
ensemble,0.0,46,25,25,0.49747048261474586,0.49482761097876926
ensemble,0.0,46,50,50,0.4993890964638124,0.5006396803797799
ensemble,0.0,47,5,0,,
ensemble,0.0,47,10,0,,
ensemble,0.0,47,25,0,,
ensemble,0.0,47,50,0,,
ensemble,0.0,48,5,0,,
ensemble,0.0,48,10,0,,
ensemble,0.0,48,25,0,,
ensemble,0.0,48,50,0,,
ensemble,0.0,49,5,5,0.5351083150437436,0.5177352058692282
ensemble,0.0,49,10,10,0.6811521898856837,0.6631878442306446
ensemble,0.0,49,25,25,0.6357358420059649,0.6311066648211999
ensemble,0.0,49,50,50,0.6440825098930665,0.6450487660687135
ensemble,0.0,50,5,0,,
ensemble,0.0,50,10,0,,
ensemble,0.0,50,25,0,,
ensemble,0.0,50,50,0,,
ensemble,0.2,0,5,0,,
ensemble,0.2,0,10,0,,
ensemble,0.2,0,25,0,,
ensemble,0.2,0,50,0,,
ensemble,0.2,1,5,5,0.4944326396797394,0.49747414921409877
ensemble,0.2,1,10,10,0.6179282051378631,0.6242369297464637
