model,source_model,mode,offset,steps,requested,admitted,completed,completion_fraction,accepted_steps_mean,completed_only_flight_rmse,completed_flights,guard_fraction
seed23,seed23,px4,0.2,5,51,23,22,0.43137254901960786,2.156862745098039,0.5860103918539928,16,0.4274509803921568
seed23,seed23,px4,0.2,10,51,23,22,0.43137254901960786,4.313725490196078,0.6510697912024123,16,0.41960784313725485
seed23,seed23,px4,0.2,25,51,23,22,0.43137254901960786,10.784313725490197,0.6316218541705794,16,0.4133333333333333
seed23,seed23,px4,0.2,50,51,23,21,0.4117647058823529,21.313725490196077,0.6299488212141255,16,0.3988235294117648
seed23,seed42,replay,-0.2,5,51,23,22,0.43137254901960786,2.156862745098039,0.6782605237816175,16,0.0
seed23,seed42,replay,-0.2,10,51,23,22,0.43137254901960786,4.313725490196078,0.718405447369617,16,0.0
seed23,seed42,replay,-0.2,25,51,23,22,0.43137254901960786,10.784313725490197,0.7006319067847178,16,0.0
seed23,seed42,replay,-0.2,50,51,23,21,0.4117647058823529,21.313725490196077,0.6972326283880104,16,0.0
seed23,seed42,replay,0.0,5,51,23,22,0.43137254901960786,2.156862745098039,0.6112379673599124,16,0.0
seed23,seed42,replay,0.0,10,51,23,22,0.43137254901960786,4.313725490196078,0.6649767409385432,16,0.0
seed23,seed42,replay,0.0,25,51,23,22,0.43137254901960786,10.784313725490197,0.6454667857919483,16,0.0
seed23,seed42,replay,0.0,50,51,23,21,0.4117647058823529,21.313725490196077,0.6426634861384117,16,0.0
seed23,seed42,replay,0.2,5,51,23,22,0.43137254901960786,2.156862745098039,0.5860347695084909,16,0.0
seed23,seed42,replay,0.2,10,51,23,22,0.43137254901960786,4.313725490196078,0.6510466346041675,16,0.0
seed23,seed42,replay,0.2,25,51,23,22,0.43137254901960786,10.784313725490197,0.6315581937548376,16,0.0
seed23,seed42,replay,0.2,50,51,23,21,0.4117647058823529,21.313725490196077,0.6298578229757972,16,0.0
seed42,ensemble,replay,-0.2,5,51,23,22,0.43137254901960786,2.156862745098039,0.6900911948968825,16,0.0
seed42,ensemble,replay,-0.2,10,51,23,22,0.43137254901960786,4.313725490196078,0.7275201061271582,16,0.0
seed42,ensemble,replay,-0.2,25,51,23,22,0.43137254901960786,10.784313725490197,0.711147720269469,16,0.0
seed42,ensemble,replay,-0.2,50,51,23,21,0.4117647058823529,21.313725490196077,0.7056367594218836,16,0.0
seed42,ensemble,replay,0.0,5,51,23,22,0.43137254901960786,2.156862745098039,0.6191734915390883,16,0.0
seed42,ensemble,replay,0.0,10,51,23,22,0.43137254901960786,4.313725490196078,0.6749880744726849,16,0.0
seed42,ensemble,replay,0.0,25,51,23,22,0.43137254901960786,10.784313725490197,0.6566542231327446,16,0.0
seed42,ensemble,replay,0.0,50,51,23,21,0.4117647058823529,21.313725490196077,0.6520665756940791,16,0.0
seed42,ensemble,replay,0.2,5,51,23,22,0.43137254901960786,2.156862745098039,0.5901657024437859,16,0.0
seed42,ensemble,replay,0.2,10,51,23,22,0.43137254901960786,4.313725490196078,0.6620782534151357,16,0.0
seed42,ensemble,replay,0.2,25,51,23,22,0.43137254901960786,10.784313725490197,0.6436020429184023,16,0.0
seed42,ensemble,replay,0.2,50,51,23,21,0.4117647058823529,21.313725490196077,0.6401016149892763,16,0.0
seed42,seed17,replay,-0.2,5,51,23,22,0.43137254901960786,2.156862745098039,0.6900817237707014,16,0.0
seed42,seed17,replay,-0.2,10,51,23,22,0.43137254901960786,4.313725490196078,0.7275214788556104,16,0.0
seed42,seed17,replay,-0.2,25,51,23,22,0.43137254901960786,10.784313725490197,0.7111913464469443,16,0.0
seed42,seed17,replay,-0.2,50,51,23,21,0.4117647058823529,21.313725490196077,0.7056882177099989,16,0.0
seed42,seed17,replay,0.0,5,51,23,22,0.43137254901960786,2.156862745098039,0.6191462231178568,16,0.0
seed42,seed17,replay,0.0,10,51,23,22,0.43137254901960786,4.313725490196078,0.6749860442536202,16,0.0
seed42,seed17,replay,0.0,25,51,23,22,0.43137254901960786,10.784313725490197,0.6566662194220515,16,0.0
seed42,seed17,replay,0.0,50,51,23,21,0.4117647058823529,21.313725490196077,0.6520291105048375,16,0.0
seed42,seed17,replay,0.2,5,51,23,22,0.43137254901960786,2.156862745098039,0.5902096572497586,16,0.0
seed42,seed17,replay,0.2,10,51,23,22,0.43137254901960786,4.313725490196078,0.6620236637453272,16,0.0
seed42,seed17,replay,0.2,25,51,23,22,0.43137254901960786,10.784313725490197,0.6435823998028904,16,0.0
seed42,seed17,replay,0.2,50,51,23,21,0.4117647058823529,21.313725490196077,0.6401088689472609,16,0.0
seed42,seed23,replay,-0.2,5,51,23,22,0.43137254901960786,2.156862745098039,0.6900701772011069,16,0.0
seed42,seed23,replay,-0.2,10,51,23,22,0.43137254901960786,4.313725490196078,0.7275112055835258,16,0.0
seed42,seed23,replay,-0.2,25,51,23,22,0.43137254901960786,10.784313725490197,0.7111278181895309,16,0.0
seed42,seed23,replay,-0.2,50,51,23,21,0.4117647058823529,21.313725490196077,0.7056216131124715,16,0.0
seed42,seed23,replay,0.0,5,51,23,22,0.43137254901960786,2.156862745098039,0.619169333442606,16,0.0
seed42,seed23,replay,0.0,10,51,23,22,0.43137254901960786,4.313725490196078,0.6749752213519367,16,0.0
seed42,seed23,replay,0.0,25,51,23,22,0.43137254901960786,10.784313725490197,0.6566421077398611,16,0.0
seed42,seed23,replay,0.0,50,51,23,21,0.4117647058823529,21.313725490196077,0.6521474811313166,16,0.0
seed42,seed23,replay,0.2,5,51,23,22,0.43137254901960786,2.156862745098039,0.5901304114191455,16,0.0
seed42,seed23,replay,0.2,10,51,23,22,0.43137254901960786,4.313725490196078,0.6621060166492647,16,0.0
seed42,seed23,replay,0.2,25,51,23,22,0.43137254901960786,10.784313725490197,0.6436374135026133,16,0.0
seed42,seed23,replay,0.2,50,51,23,21,0.4117647058823529,21.313725490196077,0.6401482035510113,16,0.0
seed42,seed42,open_hold,-0.2,5,51,23,22,0.43137254901960786,2.156862745098039,0.674885399479348,16,0.0
