mode,pattern,step,cohort,seed,metric,continuous,local100ms,local_minus_continuous
Mission,ALL,5,Sep7,42,velocity_m_s,0.11574044233178685,0.11574044233178685,0.0
Mission,ALL,10,ALL,17,attitude_deg,1.98771615276385,1.2618022470293784,-0.7259139057344717
Mission,ALL,10,ALL,17,body_rate_rad_s,0.5378581081567336,0.5214522969748561,-0.01640581118187756
Mission,ALL,10,ALL,17,p_rad_s,0.48154948375970547,0.47038201156592735,-0.011167472193778116
Mission,ALL,10,ALL,17,position_m,0.04145664403199056,0.01994547582901793,-0.021511168202972625
Mission,ALL,10,ALL,17,q_rad_s,0.19423984385558588,0.17950700163239797,-0.014732842223187909
Mission,ALL,10,ALL,17,r_rad_s,0.13592209308827427,0.13294509921693684,-0.00297699387133743
Mission,ALL,10,ALL,17,roll_deg,1.4038381671044882,0.9488780712466394,-0.4549600958578488
Mission,ALL,10,ALL,17,velocity_m_s,0.1628714663320665,0.11520423047645402,-0.047667235855612486
Mission,ALL,10,ALL,23,attitude_deg,2.036150881856838,1.3074232278351068,-0.7287276540217311
Mission,ALL,10,ALL,23,body_rate_rad_s,0.5394835794449031,0.5165312391411881,-0.022952340303714958
Mission,ALL,10,ALL,23,p_rad_s,0.477600466564371,0.4604963680000302,-0.01710409856434081
Mission,ALL,10,ALL,23,position_m,0.04158201429519778,0.020033594626701654,-0.02154841966849613
Mission,ALL,10,ALL,23,q_rad_s,0.20774482621511434,0.18572792431949178,-0.022016901895622554
Mission,ALL,10,ALL,23,r_rad_s,0.1343830254156634,0.13845801885286213,0.004074993437198721
Mission,ALL,10,ALL,23,roll_deg,1.371908217180281,0.9765531319123726,-0.3953550852679084
Mission,ALL,10,ALL,23,velocity_m_s,0.16214543981857304,0.11691361938333306,-0.04523182043523999
Mission,ALL,10,ALL,42,attitude_deg,2.035280454911998,1.2871685104012116,-0.7481119445107864
Mission,ALL,10,ALL,42,body_rate_rad_s,0.5397913876142549,0.5263245967319802,-0.01346679088227476
Mission,ALL,10,ALL,42,p_rad_s,0.4839469412543729,0.47537313302058326,-0.008573808233789615
Mission,ALL,10,ALL,42,position_m,0.04088530355494705,0.019686449981106233,-0.02119885357384082
Mission,ALL,10,ALL,42,q_rad_s,0.19513674838915865,0.18127611142926892,-0.013860636959889733
Mission,ALL,10,ALL,42,r_rad_s,0.13351493364248948,0.13239907718193986,-0.0011158564605496246
Mission,ALL,10,ALL,42,roll_deg,1.455135578954559,0.9698745078786223,-0.48526107107593675
Mission,ALL,10,ALL,42,velocity_m_s,0.1662828877131266,0.11941675125485886,-0.046866136458267746
Mission,ALL,10,Sep17,17,attitude_deg,2.09458152076866,1.2622161974135488,-0.8323653233551112
Mission,ALL,10,Sep17,17,body_rate_rad_s,0.5204498607391235,0.49951642135010277,-0.020933439389020703
Mission,ALL,10,Sep17,17,p_rad_s,0.45914139368523266,0.4456611022788749,-0.013480291406357758
Mission,ALL,10,Sep17,17,position_m,0.033518136882958086,0.0161908574928857,-0.017327279390072385
Mission,ALL,10,Sep17,17,q_rad_s,0.20259497176058544,0.18305301378899666,-0.01954195797158878
Mission,ALL,10,Sep17,17,r_rad_s,0.13615552007990314,0.1303486800819324,-0.005806839997970742
Mission,ALL,10,Sep17,17,roll_deg,1.5369810867285785,0.9498148480801407,-0.5871662386484378
Mission,ALL,10,Sep17,17,velocity_m_s,0.17429610152303412,0.12116229603029521,-0.05313380549273891
Mission,ALL,10,Sep17,23,attitude_deg,2.127207557313892,1.2812149204875076,-0.8459926368263846
Mission,ALL,10,Sep17,23,body_rate_rad_s,0.5176148935724275,0.49330827663868204,-0.024306616933745473
Mission,ALL,10,Sep17,23,p_rad_s,0.44844162558217204,0.4319874240583915,-0.01645420152378052
Mission,ALL,10,Sep17,23,position_m,0.0341087991742187,0.016444276482805224,-0.017664522691413474
Mission,ALL,10,Sep17,23,q_rad_s,0.22131617354940808,0.1909870689009591,-0.030329104648448985
Mission,ALL,10,Sep17,23,r_rad_s,0.13198274095642776,0.14083392034314102,0.00885117938671326
Mission,ALL,10,Sep17,23,roll_deg,1.4401467406281925,0.9363360463727951,-0.5038106942553974
Mission,ALL,10,Sep17,23,velocity_m_s,0.16994701422321845,0.1243936930696556,-0.04555332115356285
Mission,ALL,10,Sep17,42,attitude_deg,2.146153165637547,1.2863348399720769,-0.8598183256654703
Mission,ALL,10,Sep17,42,body_rate_rad_s,0.5209682208855884,0.5057396681518731,-0.015228552733715262
Mission,ALL,10,Sep17,42,p_rad_s,0.4590260018569536,0.45230437807848006,-0.006721623778473518
Mission,ALL,10,Sep17,42,position_m,0.03280283024697997,0.01597401228925988,-0.01682881795772009
Mission,ALL,10,Sep17,42,q_rad_s,0.2051646702402371,0.18384791717791038,-0.02131675306232672
Mission,ALL,10,Sep17,42,r_rad_s,0.1349396983846973,0.13053789255052822,-0.004401805834169076
Mission,ALL,10,Sep17,42,roll_deg,1.5897052376629708,0.9686347788024152,-0.6210704588605556
Mission,ALL,10,Sep17,42,velocity_m_s,0.17136519402659894,0.1237329869039482,-0.047632207122650747
Mission,ALL,10,Sep7,17,attitude_deg,1.7739854167542295,1.2609743462610379,-0.5130110704931916
Mission,ALL,10,Sep7,17,body_rate_rad_s,0.5726746029919538,0.5653240482243627,-0.0073505547675911664
Mission,ALL,10,Sep7,17,p_rad_s,0.526365663908651,0.5198238301400323,-0.006541833768618721
Mission,ALL,10,Sep7,17,position_m,0.057333658330055486,0.027454712501282397,-0.02987894582877309
Mission,ALL,10,Sep7,17,q_rad_s,0.17752958804558677,0.17241497731920058,-0.005114610726386193
Mission,ALL,10,Sep7,17,r_rad_s,0.13545523910501656,0.1381379374869457,0.0026826983819291383
Mission,ALL,10,Sep7,17,roll_deg,1.137552327856308,0.9470045175796366,-0.19054781027667145
Mission,ALL,10,Sep7,17,velocity_m_s,0.14002219595013127,0.10328809936877165,-0.03673409658135962
Mission,ALL,10,Sep7,23,attitude_deg,1.8540375309427293,1.3598398425303049,-0.4941976884124244
Mission,ALL,10,Sep7,23,body_rate_rad_s,0.5832209511898543,0.5629771641462002,-0.020243787043654038
Mission,ALL,10,Sep7,23,p_rad_s,0.5359181485287691,0.5175142558833075,-0.018403892645461606
Mission,ALL,10,Sep7,23,position_m,0.05652844453715595,0.027212230914494515,-0.029316213622661434
Mission,ALL,10,Sep7,23,q_rad_s,0.18060213154652682,0.17520963515655716,-0.005392496389969664
Mission,ALL,10,Sep7,23,r_rad_s,0.13918359433413469,0.13370621587230433,-0.005477378461830357
Mission,ALL,10,Sep7,23,roll_deg,1.2354311702844576,1.0569873029915278,-0.17844386729292983
Mission,ALL,10,Sep7,23,velocity_m_s,0.14654229100928223,0.10195347201068795,-0.04458881899859428
Mission,ALL,10,Sep7,42,attitude_deg,1.8135350334608997,1.2888358512594809,-0.5246991822014189
