mode,pattern,step,cohort,metric,unit,n,local_better,local_worse
Mission,sustained,35,Sep17,body_rate_rad_s,seed,3,3,0
Mission,sustained,35,Sep17,p_rad_s,seed,3,3,0
Mission,sustained,35,Sep17,position_m,seed,3,3,0
Mission,sustained,35,Sep17,q_rad_s,seed,3,3,0
Mission,sustained,35,Sep17,r_rad_s,seed,3,3,0
Mission,sustained,35,Sep17,roll_deg,seed,3,3,0
Mission,sustained,35,Sep17,velocity_m_s,seed,3,3,0
Mission,sustained,35,Sep7,attitude_deg,seed,3,3,0
Mission,sustained,35,Sep7,body_rate_rad_s,seed,3,2,1
Mission,sustained,35,Sep7,p_rad_s,seed,3,1,2
Mission,sustained,35,Sep7,position_m,seed,3,3,0
Mission,sustained,35,Sep7,q_rad_s,seed,3,3,0
Mission,sustained,35,Sep7,r_rad_s,seed,3,0,3
Mission,sustained,35,Sep7,roll_deg,seed,3,3,0
Mission,sustained,35,Sep7,velocity_m_s,seed,3,3,0
Mission,sustained,40,ALL,attitude_deg,seed,3,3,0
Mission,sustained,40,ALL,body_rate_rad_s,seed,3,3,0
Mission,sustained,40,ALL,p_rad_s,seed,3,3,0
Mission,sustained,40,ALL,position_m,seed,3,3,0
Mission,sustained,40,ALL,q_rad_s,seed,3,3,0
Mission,sustained,40,ALL,r_rad_s,seed,3,3,0
Mission,sustained,40,ALL,roll_deg,seed,3,3,0
Mission,sustained,40,ALL,velocity_m_s,seed,3,3,0
Mission,sustained,40,Sep17,attitude_deg,seed,3,3,0
Mission,sustained,40,Sep17,body_rate_rad_s,seed,3,3,0
Mission,sustained,40,Sep17,p_rad_s,seed,3,3,0
Mission,sustained,40,Sep17,position_m,seed,3,3,0
Mission,sustained,40,Sep17,q_rad_s,seed,3,3,0
Mission,sustained,40,Sep17,r_rad_s,seed,3,3,0
Mission,sustained,40,Sep17,roll_deg,seed,3,3,0
Mission,sustained,40,Sep17,velocity_m_s,seed,3,3,0
Mission,sustained,40,Sep7,attitude_deg,seed,3,3,0
Mission,sustained,40,Sep7,body_rate_rad_s,seed,3,3,0
Mission,sustained,40,Sep7,p_rad_s,seed,3,3,0
Mission,sustained,40,Sep7,position_m,seed,3,3,0
Mission,sustained,40,Sep7,q_rad_s,seed,3,2,1
Mission,sustained,40,Sep7,r_rad_s,seed,3,0,3
Mission,sustained,40,Sep7,roll_deg,seed,3,3,0
Mission,sustained,40,Sep7,velocity_m_s,seed,3,3,0
Mission,sustained,45,ALL,attitude_deg,seed,3,3,0
Mission,sustained,45,ALL,body_rate_rad_s,seed,3,3,0
Mission,sustained,45,ALL,p_rad_s,seed,3,3,0
Mission,sustained,45,ALL,position_m,seed,3,3,0
Mission,sustained,45,ALL,q_rad_s,seed,3,3,0
Mission,sustained,45,ALL,r_rad_s,seed,3,3,0
Mission,sustained,45,ALL,roll_deg,seed,3,3,0
Mission,sustained,45,ALL,velocity_m_s,seed,3,3,0
Mission,sustained,45,Sep17,attitude_deg,seed,3,3,0
Mission,sustained,45,Sep17,body_rate_rad_s,seed,3,3,0
Mission,sustained,45,Sep17,p_rad_s,seed,3,3,0
Mission,sustained,45,Sep17,position_m,seed,3,3,0
Mission,sustained,45,Sep17,q_rad_s,seed,3,3,0
Mission,sustained,45,Sep17,r_rad_s,seed,3,3,0
Mission,sustained,45,Sep17,roll_deg,seed,3,3,0
