seed,tau_s,interval,group,flight_id,cohort,n_origins,axis,component,error_mse,rmse,true_amplitude,pred_amplitude,cross_term
42,0.1,0_500ms,ALL,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,140,q,raw,0.041477709506049135,0.20366077066054997,0.6567281104759632,0.6518705146228801,0.007828551714559715
42,0.1,0_500ms,ALL,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,140,q,slow,0.0075380301518564626,0.08682182992690526,0.4291453598581295,0.4326966544509294,0.007828551714559715
42,0.1,0_500ms,ALL,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,140,q,fast,0.02611112763963296,0.16158937972414203,0.4054451221466892,0.39827995959775264,0.007828551714559715
42,0.1,0_500ms,ALL,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,140,r,raw,0.015203020396781031,0.12330052877737804,0.1556825297788134,0.1405037415003523,0.002844340695536897
42,0.1,0_500ms,ALL,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,140,r,slow,0.005943199352010089,0.07709214844593507,0.10929460445055832,0.10601964307271908,0.002844340695536897
42,0.1,0_500ms,ALL,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,140,r,fast,0.006415480349234045,0.0800966937472081,0.08055498793194707,0.060887429098844564,0.002844340695536897
42,0.1,0_500ms,ALL,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,201,p,raw,0.2550078914742892,0.50498306058153,1.0088195380495038,0.8580419003712275,0.04756298897852962
42,0.1,0_500ms,ALL,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,201,p,slow,0.01937461897065494,0.13919274036620927,0.6643573584490718,0.6424808679014512,0.04756298897852962
42,0.1,0_500ms,ALL,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,201,p,fast,0.18807028352510466,0.43367070863168133,0.6189427812267905,0.423136731897248,0.04756298897852962
42,0.1,0_500ms,ALL,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,201,q,raw,0.04110410098871896,0.202741463417622,0.6172672143707012,0.6079789909622291,0.007613709002060212
42,0.1,0_500ms,ALL,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,201,q,slow,0.008112820980321296,0.09007119950528746,0.39014445389482966,0.38894804997394195,0.007613709002060212
42,0.1,0_500ms,ALL,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,201,q,fast,0.025377571006337453,0.1593033929529985,0.3908580439994822,0.3821284087561731,0.007613709002060212
42,0.1,0_500ms,ALL,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,201,r,raw,0.01091767556714407,0.10448768141338036,0.17498454734313906,0.15261813462072196,0.002388840397651128
42,0.1,0_500ms,ALL,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,201,r,slow,0.0037818753296210575,0.061496953823917636,0.12691173923308327,0.11770981161477372,0.002388840397651128
42,0.1,0_500ms,ALL,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,201,r,fast,0.004746959839871884,0.06889818459053826,0.08355602255804705,0.05938847250521842,0.002388840397651128
42,0.1,0_500ms,ALL,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,164,p,raw,0.268771941102876,0.5184321952800347,0.9301675078476882,0.7832607098103358,0.0500704577939077
42,0.1,0_500ms,ALL,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,164,p,slow,0.023106454292059948,0.1520080731147525,0.635107814925699,0.6152502075399116,0.0500704577939077
42,0.1,0_500ms,ALL,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,164,p,fast,0.19559502901690837,0.44226126782356645,0.5495767557911748,0.3415464222512447,0.0500704577939077
42,0.1,0_500ms,ALL,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,164,q,raw,0.04291562053892523,0.20716085667646103,0.6718040616557168,0.6620326379832305,0.008213416170047411
42,0.1,0_500ms,ALL,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,164,q,slow,0.010387872541997327,0.10192091317289757,0.44938987717374607,0.44137034683686793,0.008213416170047411
42,0.1,0_500ms,ALL,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,164,q,fast,0.024314331826880493,0.15593053526131595,0.4092421830617419,0.4057500693761595,0.008213416170047411
42,0.1,0_500ms,ALL,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,164,r,raw,0.014738760990546143,0.12140329892777273,0.17464842816172976,0.1514051707521092,0.0028361252736340773
42,0.1,0_500ms,ALL,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,164,r,slow,0.006010660738076945,0.07752845115231534,0.1269182216158077,0.11623517506296051,0.0028361252736340773
42,0.1,0_500ms,ALL,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,164,r,fast,0.005891974978835122,0.07675920126496316,0.08449469937994153,0.05957634140356786,0.0028361252736340773
42,0.1,0_500ms,ALL,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,130,p,raw,0.2558294948698452,0.5057959023853843,0.7899259926137292,0.6683295674295116,0.0480332301560897
42,0.1,0_500ms,ALL,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,130,p,slow,0.03232272217328763,0.17978521121963184,0.5279624995173158,0.5062532923700647,0.0480332301560897
42,0.1,0_500ms,ALL,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,130,p,fast,0.17547354254046788,0.4188956224890252,0.4848823739719318,0.33078590881216224,0.0480332301560897
42,0.1,0_500ms,ALL,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,130,q,raw,0.05478627944657419,0.23406469073009323,0.8236314662127157,0.7685347244455885,0.01031124901417454
42,0.1,0_500ms,ALL,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,130,q,slow,0.014202889837130764,0.11917587774852242,0.560231433608648,0.5361776337918077,0.01031124901417454
42,0.1,0_500ms,ALL,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,130,q,fast,0.030272140595268886,0.17398890940306766,0.4930984698049019,0.44568624322731804,0.01031124901417454
42,0.1,0_500ms,ALL,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,130,r,raw,0.02084424227956846,0.14437535205002433,0.2657884681671491,0.22192578670900664,0.004258866928873118
42,0.1,0_500ms,ALL,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,130,r,slow,0.008636191545128616,0.09293111182552706,0.1990648413046498,0.17235363303671736,0.004258866928873118
42,0.1,0_500ms,ALL,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,130,r,fast,0.00794918380556673,0.08915819539204868,0.11496232034662886,0.07639689743357293,0.004258866928873118
42,0.1,0_500ms,ALL,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,145,p,raw,0.24355270868124548,0.49351059632113825,0.7584546030187392,0.6096704885054385,0.046946899498519226
