tau_s,interval,group,cohort,axis,component,seed,rmse,true_amplitude,pred_amplitude,error_mse,cross_term
0.05,0_500ms,ALL,Sep7,p,raw,23,0.5262453383457069,0.895106021059233,0.7351874956192679,0.2771144282405253,0.07907414535501596
0.05,0_500ms,ALL,Sep7,p,raw,42,0.5306622158223112,0.895106021059233,0.7466829722043071,0.28186445096544627,0.08038338015451256
0.05,0_500ms,ALL,Sep7,p,slow,17,0.23099683199618726,0.6857588077586612,0.6417604678671012,0.053535419921918764,0.07918693031545163
0.05,0_500ms,ALL,Sep7,p,slow,23,0.22950646767810945,0.6857588077586612,0.6424168841786325,0.052931571621239036,0.07907414535501596
0.05,0_500ms,ALL,Sep7,p,slow,42,0.2330022557636913,0.6857588077586612,0.6498923370503231,0.05459817368000041,0.08038338015451256
0.05,0_500ms,ALL,Sep7,q,fast,17,0.13659568333605152,0.32221917107191317,0.3094444889745658,0.01871132934889822,0.011411617269072617
0.05,0_500ms,ALL,Sep7,q,fast,23,0.13744550516120432,0.32221917107191317,0.30599890728281864,0.018917026559711465,0.01151956289534368
0.05,0_500ms,ALL,Sep7,q,fast,42,0.12949450122127681,0.32221917107191317,0.30666433411683464,0.01678825084877835,0.010349462050806568
0.05,0_500ms,ALL,Sep7,q,raw,17,0.2199125096055424,0.6702685507933528,0.6562973292808473,0.04849319645420351,0.011411617269072617
0.05,0_500ms,ALL,Sep7,q,raw,23,0.22189728582183998,0.6702685507933528,0.6532438578808948,0.04932075060151753,0.01151956289534368
0.05,0_500ms,ALL,Sep7,q,raw,42,0.21287747187378642,0.6702685507933528,0.6575055769317663,0.045397958875539664,0.010349462050806568
0.05,0_500ms,ALL,Sep7,q,slow,17,0.13526210590066637,0.5170159256644382,0.5121915809618537,0.01837024983623267,0.011411617269072617
0.05,0_500ms,ALL,Sep7,q,slow,23,0.13716827486031277,0.5170159256644382,0.5122196741515656,0.018884161146462377,0.01151956289534368
0.05,0_500ms,ALL,Sep7,q,slow,42,0.13482821880509388,0.5170159256644382,0.5164405521559555,0.01826024597595475,0.010349462050806568
0.05,0_500ms,ALL,Sep7,r,fast,17,0.06534978165165235,0.06292296788553284,0.04254254594337334,0.0043272363233819566,0.0032757129825043505
0.05,0_500ms,ALL,Sep7,r,fast,23,0.06394869482263216,0.06292296788553284,0.04126234884279397,0.004132008163582216,0.0032238345112582784
0.05,0_500ms,ALL,Sep7,r,fast,42,0.06419687471776483,0.06292296788553284,0.04069611876373233,0.004164785887251515,0.0031077979338539536
