partition,channel,subset,flight_id,cohort,n_origins,positive,negative,zero,one_direction
train,common,isolated,9.12数据/log_9_2026-9-12-06-03-32.ulg,train,1,1,0,0,1
train,common,isolated,9.13数据/log_1_2026-9-13-06-11-06.ulg,train,6,4,2,0,6
train,common,isolated,9.13数据/log_2_2026-9-13-06-20-06.ulg,train,4,3,1,0,4
train,common,isolated,9.13数据/log_3_2026-9-13-06-31-26.ulg,train,1,1,0,0,0
train,common,isolated,9.13数据/log_4_2026-9-13-06-36-26.ulg,train,3,2,1,0,1
train,common,isolated,9.13数据/log_5_2026-9-13-06-42-40.ulg,train,0,0,0,0,0
train,common,isolated,9.13数据/log_7_2026-9-13-18-12-52.ulg,train,1,0,1,0,1
train,common,isolated,9.14数据/log_11_2026-9-14-18-13-22.ulg,train,0,0,0,0,0
train,common,isolated,9.14数据/log_12_2026-9-14-18-20-30.ulg,train,2,2,0,0,1
train,common,isolated,9.14数据/log_13_2026-9-14-18-28-32.ulg,train,2,1,1,0,2
train,common,isolated,9.14数据/log_14_2026-9-14-18-34-22.ulg,train,0,0,0,0,0
train,common,isolated,9.15数据/log_10_2026-9-15-17-44-04.ulg,train,0,0,0,0,0
train,common,isolated,9.15数据/log_11_2026-9-15-17-51-56.ulg,train,2,1,1,0,2
train,common,isolated,9.15数据/log_12_2026-9-15-18-03-58.ulg,train,8,4,4,0,4
train,common,isolated,9.15数据/log_13_2026-9-15-18-10-58.ulg,train,3,2,1,0,3
train,common,isolated,9.15数据/log_14_2026-9-15-18-17-26.ulg,train,3,2,1,0,3
train,common,isolated,9.15数据/log_15_2026-9-15-18-23-44.ulg,train,1,1,0,0,1
train,common,isolated,9.16数据/log_1_2026-9-16-18-02-34.ulg,train,2,1,1,0,1
train,common,isolated,9.16数据/log_2_2026-9-16-18-08-46.ulg,train,5,2,3,0,4
train,common,isolated,9.16数据/log_3_2026-9-16-18-13-58.ulg,train,1,1,0,0,0
train,common,isolated,9.16数据/log_4_2026-9-16-18-20-50.ulg,train,1,0,1,0,1
train,common,isolated,9.16数据/log_5_2026-9-16-18-26-48.ulg,train,3,2,1,0,2
train,common,isolated,9.18数据/log_0_2026-9-18-18-15-06.ulg,train,0,0,0,0,0
train,common,isolated,9.18数据/log_1_2026-9-18-18-23-36.ulg,train,0,0,0,0,0
train,common,isolated,9.18数据/log_2_2026-9-18-18-29-40.ulg,train,0,0,0,0,0
train,common,predominant,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train,81,44,37,0,68
train,common,predominant,2026.9.6/log_18_2026-9-6-18-46-20.ulg,train,41,19,22,0,35
train,common,predominant,2026.9.6/log_19_2026-9-6-18-52-30.ulg,train,48,23,25,0,37
train,common,predominant,2026.9.6/log_20_2026-9-6-18-58-10.ulg,train,27,12,15,0,21
train,common,predominant,2026.9.6/log_24_2026-9-6-06-28-38.ulg,train,46,19,27,0,29
train,common,predominant,2026.9.6/log_28_2026-9-6-07-01-38.ulg,train,61,38,23,0,45
train,common,predominant,9.11数据/log_13_2026-9-11-18-28-08.ulg,train,50,32,18,0,40
train,common,predominant,9.11数据/log_14_2026-9-11-18-34-58.ulg,train,88,48,40,0,68
train,common,predominant,9.11数据/log_15_2026-9-11-18-40-48.ulg,train,56,30,26,0,38
train,common,predominant,9.12数据/log_10_2026-9-12-06-13-40.ulg,train,87,50,37,0,70
train,common,predominant,9.12数据/log_11_2026-9-12-06-21-12.ulg,train,60,37,23,0,52
train,common,predominant,9.12数据/log_12_2026-9-12-06-29-44.ulg,train,73,44,29,0,59
train,common,predominant,9.12数据/log_2_2026-9-12-18-32-54.ulg,train,83,52,31,0,67
train,common,predominant,9.12数据/log_3_2026-9-12-18-40-02.ulg,train,86,46,40,0,74
train,common,predominant,9.12数据/log_7_2026-9-12-05-49-02.ulg,train,77,41,36,0,61
train,common,predominant,9.12数据/log_8_2026-9-12-05-55-30.ulg,train,85,53,32,0,63
train,common,predominant,9.12数据/log_9_2026-9-12-06-03-32.ulg,train,129,77,52,0,98
train,common,predominant,9.13数据/log_1_2026-9-13-06-11-06.ulg,train,81,55,26,0,75
train,common,predominant,9.13数据/log_2_2026-9-13-06-20-06.ulg,train,87,59,28,0,78
train,common,predominant,9.13数据/log_3_2026-9-13-06-31-26.ulg,train,72,36,36,0,62
train,common,predominant,9.13数据/log_4_2026-9-13-06-36-26.ulg,train,64,44,20,0,58
train,common,predominant,9.13数据/log_5_2026-9-13-06-42-40.ulg,train,66,36,30,0,54
train,common,predominant,9.13数据/log_7_2026-9-13-18-12-52.ulg,train,36,19,17,0,33
train,common,predominant,9.14数据/log_11_2026-9-14-18-13-22.ulg,train,81,46,35,0,66
train,common,predominant,9.14数据/log_12_2026-9-14-18-20-30.ulg,train,77,42,35,0,61
train,common,predominant,9.14数据/log_13_2026-9-14-18-28-32.ulg,train,79,44,35,0,74
train,common,predominant,9.14数据/log_14_2026-9-14-18-34-22.ulg,train,51,28,23,0,41
train,common,predominant,9.15数据/log_10_2026-9-15-17-44-04.ulg,train,50,26,24,0,29
train,common,predominant,9.15数据/log_11_2026-9-15-17-51-56.ulg,train,36,21,15,0,26
train,common,predominant,9.15数据/log_12_2026-9-15-18-03-58.ulg,train,66,30,36,0,47
train,common,predominant,9.15数据/log_13_2026-9-15-18-10-58.ulg,train,47,29,18,0,38
train,common,predominant,9.15数据/log_14_2026-9-15-18-17-26.ulg,train,38,22,16,0,31
train,common,predominant,9.15数据/log_15_2026-9-15-18-23-44.ulg,train,47,30,17,0,37
train,common,predominant,9.16数据/log_1_2026-9-16-18-02-34.ulg,train,45,24,21,0,35
train,common,predominant,9.16数据/log_2_2026-9-16-18-08-46.ulg,train,39,21,18,0,30
train,common,predominant,9.16数据/log_3_2026-9-16-18-13-58.ulg,train,34,19,15,0,28
train,common,predominant,9.16数据/log_4_2026-9-16-18-20-50.ulg,train,41,20,21,0,34
train,common,predominant,9.16数据/log_5_2026-9-16-18-26-48.ulg,train,43,24,19,0,40
train,common,predominant,9.18数据/log_0_2026-9-18-18-15-06.ulg,train,34,14,20,0,27
train,common,predominant,9.18数据/log_1_2026-9-18-18-23-36.ulg,train,40,26,14,0,28
train,common,predominant,9.18数据/log_2_2026-9-18-18-29-40.ulg,train,44,16,28,0,35
train,differential,high,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train,218,108,110,0,151
train,differential,high,2026.9.6/log_18_2026-9-6-18-46-20.ulg,train,246,120,126,0,156
train,differential,high,2026.9.6/log_19_2026-9-6-18-52-30.ulg,train,180,96,84,0,123
train,differential,high,2026.9.6/log_20_2026-9-6-18-58-10.ulg,train,170,80,90,0,112
train,differential,high,2026.9.6/log_24_2026-9-6-06-28-38.ulg,train,268,139,129,0,188
train,differential,high,2026.9.6/log_28_2026-9-6-07-01-38.ulg,train,286,137,149,0,191
train,differential,high,9.11数据/log_13_2026-9-11-18-28-08.ulg,train,172,85,87,0,107
train,differential,high,9.11数据/log_14_2026-9-11-18-34-58.ulg,train,177,94,83,0,119
train,differential,high,9.11数据/log_15_2026-9-11-18-40-48.ulg,train,170,77,93,0,112
train,differential,high,9.12数据/log_10_2026-9-12-06-13-40.ulg,train,168,82,86,0,118
train,differential,high,9.12数据/log_11_2026-9-12-06-21-12.ulg,train,205,103,102,0,145
train,differential,high,9.12数据/log_12_2026-9-12-06-29-44.ulg,train,173,82,91,0,124
train,differential,high,9.12数据/log_2_2026-9-12-18-32-54.ulg,train,111,56,55,0,74
train,differential,high,9.12数据/log_3_2026-9-12-18-40-02.ulg,train,154,72,82,0,95
train,differential,high,9.12数据/log_7_2026-9-12-05-49-02.ulg,train,144,68,76,0,112
train,differential,high,9.12数据/log_8_2026-9-12-05-55-30.ulg,train,189,99,90,0,130
train,differential,high,9.12数据/log_9_2026-9-12-06-03-32.ulg,train,242,115,127,0,171
train,differential,high,9.13数据/log_1_2026-9-13-06-11-06.ulg,train,76,33,43,0,56
train,differential,high,9.13数据/log_2_2026-9-13-06-20-06.ulg,train,123,63,60,0,91
train,differential,high,9.13数据/log_3_2026-9-13-06-31-26.ulg,train,112,56,56,0,80
train,differential,high,9.13数据/log_4_2026-9-13-06-36-26.ulg,train,95,48,47,0,63
train,differential,high,9.13数据/log_5_2026-9-13-06-42-40.ulg,train,119,59,60,0,82
train,differential,high,9.13数据/log_7_2026-9-13-18-12-52.ulg,train,136,65,71,0,98
train,differential,high,9.14数据/log_11_2026-9-14-18-13-22.ulg,train,180,81,99,0,138
train,differential,high,9.14数据/log_12_2026-9-14-18-20-30.ulg,train,206,103,103,0,147
